 1.28859727e+08  1.28859727e+08  0.00000000e+00  1.28859727e+08  6.35373893e+01  1.28859727e+08  6.38079447e+01  1.28859727e+08  6.20004767e+01 
 1.29853629e+08  1.29853629e+08  0.00000000e+00  1.29853629e+08  6.35373938e+01  1.29853629e+08  6.38079495e+01  1.29853629e+08  6.20004761e+01 
 1.30855197e+08  1.30855197e+08  0.00000000e+00  1.30855197e+08  6.35373983e+01  1.30855197e+08  6.38079543e+01  1.30855197e+08  6.20004755e+01 
 1.31864491e+08  1.31864491e+08  0.00000000e+00  1.31864491e+08  6.35374029e+01  1.31864491e+08  6.38079592e+01  1.31864491e+08  6.20004749e+01 
 1.32881569e+08  1.32881569e+08  0.00000000e+00  1.32881569e+08  6.35374075e+01  1.32881569e+08  6.38079642e+01  1.32881569e+08  6.20004742e+01 
 1.33906492e+08  1.33906492e+08  0.00000000e+00  1.33906492e+08  6.35374122e+01  1.33906492e+08  6.38079693e+01  1.33906492e+08  6.20004736e+01 
 1.34939320e+08  1.34939320e+08  0.00000000e+00  1.34939320e+08  6.35374170e+01  1.34939320e+08  6.38079745e+01  1.34939320e+08  6.20004730e+01 
 1.35980114e+08  1.35980114e+08  0.00000000e+00  1.35980114e+08  6.35374219e+01  1.35980114e+08  6.38079797e+01  1.35980114e+08  6.20004723e+01 
 1.37028936e+08  1.37028936e+08  0.00000000e+00  1.37028936e+08  6.35374268e+01  1.37028936e+08  6.38079850e+01  1.37028936e+08  6.20004717e+01 
 1.38085848e+08  1.38085848e+08  0.00000000e+00  1.38085848e+08  6.35374318e+01  1.38085848e+08  6.38079904e+01  1.38085848e+08  6.20004710e+01 
 1.39150912e+08  1.39150912e+08  0.00000000e+00  1.39150912e+08  6.35374369e+01  1.39150912e+08  6.38079959e+01  1.39150912e+08  6.20004703e+01 
 1.40224191e+08  1.40224191e+08  0.00000000e+00  1.40224191e+08  6.35374421e+01  1.40224191e+08  6.38080015e+01  1.40224191e+08  6.20004697e+01 
 1.41305748e+08  1.41305748e+08  0.00000000e+00  1.41305748e+08  6.35374473e+01  1.41305748e+08  6.38080071e+01  1.41305748e+08  6.20004690e+01 
