 5.00000000e-08  5.00000000e-08  5.00000000e-08  5.50000000e-05  5.00000000e-08  0.00000000e+00  5.00000000e-08  3.10047376e-01  5.00000000e-08  5.50000000e-01  5.00000000e-08  1.00001532e+00  5.00000000e-08 -2.39952624e-01 
 1.00000000e-07  1.00000000e-07  1.00000000e-07  1.10000000e-04  1.00000000e-07  0.00000000e+00  1.00000000e-07  3.10094752e-01  1.00000000e-07  5.50000000e-01  1.00000000e-07  1.00003065e+00  1.00000000e-07 -2.39905248e-01 
 1.40281075e-07  1.40281075e-07  1.40281075e-07  1.54309182e-04  1.40281075e-07  0.00000000e+00  1.40281075e-07  3.10132921e-01  1.40281075e-07  5.50000000e-01  1.40281075e-07  1.00004299e+00  1.40281075e-07 -2.39867079e-01 
 2.20843225e-07  2.20843225e-07  2.20843225e-07  2.42927547e-04  2.20843225e-07  0.00000000e+00  2.20843225e-07  3.10209260e-01  2.20843225e-07  5.50000000e-01  2.20843225e-07  1.00006768e+00  2.20843225e-07 -2.39790740e-01 
 3.81967525e-07  3.81967525e-07  3.81967525e-07  4.20164277e-04  3.81967525e-07  0.00000000e+00  3.81967525e-07  3.10361945e-01  3.81967525e-07  5.50000000e-01  3.81967525e-07  1.00011705e+00  3.81967525e-07 -2.39638055e-01 
 7.04216124e-07  7.04216124e-07  7.04216124e-07  7.74637737e-04  7.04216124e-07  0.00000000e+00  7.04216124e-07  3.10667347e-01  7.04216124e-07  5.50000000e-01  7.04216124e-07  1.00021581e+00  7.04216124e-07 -2.39332653e-01 
 1.34871332e-06  1.34871332e-06  1.34871332e-06  1.48358466e-03  1.34871332e-06  0.00000000e+00  1.34871332e-06  3.11278270e-01  1.34871332e-06  5.50000000e-01  1.34871332e-06  1.00041332e+00  1.34871332e-06 -2.38721730e-01 
 2.63770772e-06  2.63770772e-06  2.63770772e-06  2.90147849e-03  2.63770772e-06  0.00000000e+00  2.63770772e-06  3.12501006e-01  2.63770772e-06  5.50000000e-01  2.63770772e-06  1.00080833e+00  2.63770772e-06 -2.37498994e-01 
 5.00000000e-06  5.00000000e-06  5.00000000e-06  5.50000000e-03  5.00000000e-06  0.00000000e+00  5.00000000e-06  3.14743762e-01  5.00000000e-06  5.50000000e-01  5.00000000e-06  1.00153226e+00  5.00000000e-06 -2.35256238e-01 
 5.25779888e-06  5.25779888e-06  5.25779888e-06  5.78357877e-03  5.25779888e-06  0.00000000e+00  5.25779888e-06  3.14988659e-01  5.25779888e-06  5.50000000e-01  5.25779888e-06  1.00161126e+00  5.25779888e-06 -2.35011341e-01 
