 1.50000000e-03  1.50000000e-03  1.50000000e-03  0.00000000e+00  1.50000000e-03  1.50000000e+01  1.50000000e-03  1.20018104e+01  1.50000000e-03  3.15496104e-02  1.50000000e-03  1.04498648e-01 
 1.50000020e-03  1.50000020e-03  1.50000020e-03  1.50000000e+00  1.50000020e-03  1.50000000e+01  1.50000020e-03  1.20018064e+01  1.50000020e-03  3.13393712e-02  1.50000020e-03  1.04557934e-01 
 1.50000060e-03  1.50000060e-03  1.50000060e-03  4.50000000e+00  1.50000060e-03  1.50000000e+01  1.50000060e-03  1.20017984e+01  1.50000060e-03  3.09908957e-02  1.50000060e-03  1.04676506e-01 
 1.50000116e-03  1.50000116e-03  1.50000116e-03  8.68126399e+00  1.50000116e-03  1.50000000e+01  1.50000116e-03  1.20017871e+01  1.50000116e-03  3.06948197e-02  1.50000116e-03  1.04841765e-01 
 1.50000158e-03  1.50000158e-03  1.50000158e-03  1.18406320e+01  1.50000158e-03  1.50000000e+01  1.50000158e-03  1.20017786e+01  1.50000158e-03  3.06224676e-02  1.50000158e-03  1.04966632e-01 
 1.50000200e-03  1.50000200e-03  1.50000200e-03  1.50000000e+01  1.50000200e-03  1.50000000e+01  1.50000200e-03  1.20017701e+01  1.50000200e-03  3.06822711e-02  1.50000200e-03  1.05091499e-01 
 1.50000208e-03  1.50000208e-03  1.50000208e-03  1.50000000e+01  1.50000208e-03  1.50000000e+01  1.50000208e-03  1.20017684e+01  1.50000208e-03  3.07074474e-02  1.50000208e-03  1.05116472e-01 
 1.50000225e-03  1.50000225e-03  1.50000225e-03  1.50000000e+01  1.50000225e-03  1.50000000e+01  1.50000225e-03  1.20017651e+01  1.50000225e-03  3.07577997e-02  1.50000225e-03  1.05166418e-01 
 1.50000259e-03  1.50000259e-03  1.50000259e-03  1.50000000e+01  1.50000259e-03  1.50000000e+01  1.50000259e-03  1.20017583e+01  1.50000259e-03  3.08585037e-02  1.50000259e-03  1.05266310e-01 
 1.50000326e-03  1.50000326e-03  1.50000326e-03  1.50000000e+01  1.50000326e-03  1.50000000e+01  1.50000326e-03  1.20017449e+01  1.50000326e-03  3.10599091e-02  1.50000326e-03  1.05466090e-01 
 1.50000461e-03  1.50000461e-03  1.50000461e-03  1.50000000e+01  1.50000461e-03  1.50000000e+01  1.50000461e-03  1.20017185e+01  1.50000461e-03  3.14627094e-02  1.50000461e-03  1.05865641e-01 
 1.50000731e-03  1.50000731e-03  1.50000731e-03  1.50000000e+01  1.50000731e-03  1.50000000e+01  1.50000731e-03  1.20016672e+01  1.50000731e-03  3.22682677e-02  1.50000731e-03  1.06664700e-01 
 1.50001270e-03  1.50001270e-03  1.50001270e-03  1.50000000e+01  1.50001270e-03  1.50000000e+01  1.50001270e-03  1.20015704e+01  1.50001270e-03  3.38792129e-02  1.50001270e-03  1.08262650e-01 
 1.50002348e-03  1.50002348e-03  1.50002348e-03  1.50000000e+01  1.50002348e-03  1.50000000e+01  1.50002348e-03  1.20014005e+01  1.50002348e-03  3.71004009e-02  1.50002348e-03  1.11457852e-01 
 1.50004348e-03  1.50004348e-03  1.50004348e-03  1.50000000e+01  1.50004348e-03  1.50000000e+01  1.50004348e-03  1.20011685e+01  1.50004348e-03  4.30718366e-02  1.50004348e-03  1.17381120e-01 
 1.50006348e-03  1.50006348e-03  1.50006348e-03  1.50000000e+01  1.50006348e-03  1.50000000e+01  1.50006348e-03  1.20010447e+01  1.50006348e-03  4.90397371e-02  1.50006348e-03  1.23300884e-01 
