 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.99968458e+00  0.00000000e+00  1.19981075e+00  0.00000000e+00  2.54299562e+00  0.00000000e+00 -1.00020197e-02 
 2.00000000e-09  2.00000000e-09  2.00000000e-09  1.99968458e+00  2.00000000e-09  1.19981075e+00  2.00000000e-09  2.54299562e+00  2.00000000e-09 -1.00020197e-02 
 4.00000000e-09  4.00000000e-09  4.00000000e-09  1.99968458e+00  4.00000000e-09  1.19981075e+00  4.00000000e-09  2.54299562e+00  4.00000000e-09 -1.00020197e-02 
 8.00000000e-09  8.00000000e-09  8.00000000e-09  1.99968458e+00  8.00000000e-09  1.19981075e+00  8.00000000e-09  2.54299562e+00  8.00000000e-09 -1.00020197e-02 
 1.60000000e-08  1.60000000e-08  1.60000000e-08  1.99968458e+00  1.60000000e-08  1.19981075e+00  1.60000000e-08  2.54299562e+00  1.60000000e-08 -1.00020197e-02 
 3.20000000e-08  3.20000000e-08  3.20000000e-08  1.99968458e+00  3.20000000e-08  1.19981075e+00  3.20000000e-08  2.54299562e+00  3.20000000e-08 -1.00020197e-02 
 6.40000000e-08  6.40000000e-08  6.40000000e-08  1.99968458e+00  6.40000000e-08  1.19981075e+00  6.40000000e-08  2.54299562e+00  6.40000000e-08 -1.00020197e-02 
 1.28000000e-07  1.28000000e-07  1.28000000e-07  1.99968458e+00  1.28000000e-07  1.19981075e+00  1.28000000e-07  2.54299562e+00  1.28000000e-07 -1.00020197e-02 
 2.56000000e-07  2.56000000e-07  2.56000000e-07  1.99968458e+00  2.56000000e-07  1.19981075e+00  2.56000000e-07  2.54299562e+00  2.56000000e-07 -1.00020197e-02 
 4.56000000e-07  4.56000000e-07  4.56000000e-07  1.99968458e+00  4.56000000e-07  1.19981075e+00  4.56000000e-07  2.54299562e+00  4.56000000e-07 -1.00020197e-02 
 6.56000000e-07  6.56000000e-07  6.56000000e-07  1.99968458e+00  6.56000000e-07  1.19981075e+00  6.56000000e-07  2.54299562e+00  6.56000000e-07 -1.00020197e-02 
 8.56000000e-07  8.56000000e-07  8.56000000e-07  1.99968458e+00  8.56000000e-07  1.19981075e+00  8.56000000e-07  2.54299562e+00  8.56000000e-07 -1.00020197e-02 
 1.05600000e-06  1.05600000e-06  1.05600000e-06  1.99968458e+00  1.05600000e-06  1.19981075e+00  1.05600000e-06  2.54299562e+00  1.05600000e-06 -1.00020197e-02 
 1.25600000e-06  1.25600000e-06  1.25600000e-06  1.99968458e+00  1.25600000e-06  1.19981075e+00  1.25600000e-06  2.54299562e+00  1.25600000e-06 -1.00020197e-02 
 1.45600000e-06  1.45600000e-06  1.45600000e-06  1.99968458e+00  1.45600000e-06  1.19981075e+00  1.45600000e-06  2.54299562e+00  1.45600000e-06 -1.00020197e-02 
 1.65600000e-06  1.65600000e-06  1.65600000e-06  1.99968458e+00  1.65600000e-06  1.19981075e+00  1.65600000e-06  2.54299562e+00  1.65600000e-06 -1.00020197e-02 
 1.85600000e-06  1.85600000e-06  1.85600000e-06  1.99968458e+00  1.85600000e-06  1.19981075e+00  1.85600000e-06  2.54299562e+00  1.85600000e-06 -1.00020197e-02 
 2.05600000e-06  2.05600000e-06  2.05600000e-06  1.99968458e+00  2.05600000e-06  1.19981075e+00  2.05600000e-06  2.54299562e+00  2.05600000e-06 -1.00020197e-02 
 2.25600000e-06  2.25600000e-06  2.25600000e-06  1.99968458e+00  2.25600000e-06  1.19981075e+00  2.25600000e-06  2.54299562e+00  2.25600000e-06 -1.00020197e-02 
 2.45600000e-06  2.45600000e-06  2.45600000e-06  1.99968458e+00  2.45600000e-06  1.19981075e+00  2.45600000e-06  2.54299562e+00  2.45600000e-06 -1.00020197e-02 
 2.65600000e-06  2.65600000e-06  2.65600000e-06  1.99968458e+00  2.65600000e-06  1.19981075e+00  2.65600000e-06  2.54299562e+00  2.65600000e-06 -1.00020197e-02 
 2.85600000e-06  2.85600000e-06  2.85600000e-06  1.99968458e+00  2.85600000e-06  1.19981075e+00  2.85600000e-06  2.54299562e+00  2.85600000e-06 -1.00020197e-02 
 3.05600000e-06  3.05600000e-06  3.05600000e-06  1.99968458e+00  3.05600000e-06  1.19981075e+00  3.05600000e-06  2.54299562e+00  3.05600000e-06 -1.00020197e-02 
 3.25600000e-06  3.25600000e-06  3.25600000e-06  1.99968458e+00  3.25600000e-06  1.19981075e+00  3.25600000e-06  2.54299562e+00  3.25600000e-06 -1.00020197e-02 
 3.45600000e-06  3.45600000e-06  3.45600000e-06  1.99968458e+00  3.45600000e-06  1.19981075e+00  3.45600000e-06  2.54299562e+00  3.45600000e-06 -1.00020197e-02 
 3.65600000e-06  3.65600000e-06  3.65600000e-06  1.99968458e+00  3.65600000e-06  1.19981075e+00  3.65600000e-06  2.54299562e+00  3.65600000e-06 -1.00020197e-02 
 3.85600000e-06  3.85600000e-06  3.85600000e-06  1.99968458e+00  3.85600000e-06  1.19981075e+00  3.85600000e-06  2.54299562e+00  3.85600000e-06 -1.00020197e-02 
 4.05600000e-06  4.05600000e-06  4.05600000e-06  1.99968458e+00  4.05600000e-06  1.19981075e+00  4.05600000e-06  2.54299562e+00  4.05600000e-06 -1.00020197e-02 
 4.25600000e-06  4.25600000e-06  4.25600000e-06  1.99968458e+00  4.25600000e-06  1.19981075e+00  4.25600000e-06  2.54299562e+00  4.25600000e-06 -1.00020197e-02 
 4.45600000e-06  4.45600000e-06  4.45600000e-06  1.99968458e+00  4.45600000e-06  1.19981075e+00  4.45600000e-06  2.54299562e+00  4.45600000e-06 -1.00020197e-02 
 4.65600000e-06  4.65600000e-06  4.65600000e-06  1.99968458e+00  4.65600000e-06  1.19981075e+00  4.65600000e-06  2.54299562e+00  4.65600000e-06 -1.00020197e-02 
 4.85600000e-06  4.85600000e-06  4.85600000e-06  1.99968458e+00  4.85600000e-06  1.19981075e+00  4.85600000e-06  2.54299562e+00  4.85600000e-06 -1.00020197e-02 
 5.05600000e-06  5.05600000e-06  5.05600000e-06  1.99968458e+00  5.05600000e-06  1.19981075e+00  5.05600000e-06  2.54299562e+00  5.05600000e-06 -1.00020197e-02 
 5.25600000e-06  5.25600000e-06  5.25600000e-06  1.99968458e+00  5.25600000e-06  1.19981075e+00  5.25600000e-06  2.54299562e+00  5.25600000e-06 -1.00020197e-02 
 5.45600000e-06  5.45600000e-06  5.45600000e-06  1.99968458e+00  5.45600000e-06  1.19981075e+00  5.45600000e-06  2.54299562e+00  5.45600000e-06 -1.00020197e-02 
 5.65600000e-06  5.65600000e-06  5.65600000e-06  1.99968458e+00  5.65600000e-06  1.19981075e+00  5.65600000e-06  2.54299562e+00  5.65600000e-06 -1.00020197e-02 
 5.85600000e-06  5.85600000e-06  5.85600000e-06  1.99968458e+00  5.85600000e-06  1.19981075e+00  5.85600000e-06  2.54299562e+00  5.85600000e-06 -1.00020197e-02 
 6.05600000e-06  6.05600000e-06  6.05600000e-06  1.99968458e+00  6.05600000e-06  1.19981075e+00  6.05600000e-06  2.54299562e+00  6.05600000e-06 -1.00020197e-02 
 6.25600000e-06  6.25600000e-06  6.25600000e-06  1.99968458e+00  6.25600000e-06  1.19981075e+00  6.25600000e-06  2.54299562e+00  6.25600000e-06 -1.00020197e-02 
 6.45600000e-06  6.45600000e-06  6.45600000e-06  1.99968458e+00  6.45600000e-06  1.19981075e+00  6.45600000e-06  2.54299562e+00  6.45600000e-06 -1.00020197e-02 
