 3.00017790e-01  3.00017790e-01  3.00017790e-01  1.81792340e+00  3.00017790e-01 -5.89963091e+01  3.00017790e-01  5.96280475e+01 
 3.00067790e-01  3.00067790e-01  3.00067790e-01  6.92672460e+00  3.00067790e-01 -5.40483209e+01  3.00067790e-01  5.97888717e+01 
 3.00117790e-01  3.00117790e-01  3.00117790e-01  1.20338167e+01  3.00117790e-01 -4.91014694e+01  3.00117790e-01  5.99491544e+01 
 3.00167790e-01  3.00167790e-01  3.00167790e-01  1.71379397e+01  3.00167790e-01 -4.41569360e+01  3.00167790e-01  6.01088170e+01 
 3.00217790e-01  3.00217790e-01  3.00217790e-01  2.22378341e+01  3.00217790e-01 -3.92159017e+01  3.00217790e-01  6.02677811e+01 
 3.00267790e-01  3.00267790e-01  3.00267790e-01  2.73322417e+01  3.00267790e-01 -3.42795467e+01  3.00267790e-01  6.04259686e+01 
 3.00317790e-01  3.00317790e-01  3.00317790e-01  3.24199055e+01  3.00317790e-01 -2.93490502e+01  3.00317790e-01  6.05833016e+01 
 3.00367790e-01  3.00367790e-01  3.00367790e-01  3.74995701e+01  3.00367790e-01 -2.44255900e+01  3.00367790e-01  6.07397028e+01 
 3.00417790e-01  3.00417790e-01  3.00417790e-01  4.25699823e+01  3.00417790e-01 -1.95103422e+01  3.00417790e-01  6.08950950e+01 
 3.00467790e-01  3.00467790e-01  3.00467790e-01  4.76298910e+01  3.00467790e-01 -1.46044811e+01  3.00467790e-01  6.10494013e+01 
 3.00517790e-01  3.00517790e-01  3.00517790e-01  5.26780477e+01  3.00517790e-01 -9.70917881e+00  3.00517790e-01  6.12025455e+01 
 3.00567790e-01  3.00567790e-01  3.00567790e-01  5.77132069e+01  3.00567790e-01 -4.82560469e+00  3.00567790e-01  6.13544515e+01 
 3.00617790e-01  3.00617790e-01  3.00617790e-01  6.27341262e+01  3.00617790e-01  4.50744746e-02  3.00617790e-01  6.15050436e+01 
