 2.00000000e-07  2.00000000e-07  2.00000000e-07  3.59998979e+01  2.00000000e-07  2.40001021e+01  2.00000000e-07  1.19997957e+01 
 4.00000000e-07  4.00000000e-07  4.00000000e-07  3.59997957e+01  4.00000000e-07  2.40002043e+01  4.00000000e-07  1.19995915e+01 
 8.00000000e-07  8.00000000e-07  8.00000000e-07  3.59995915e+01  8.00000000e-07  2.40004085e+01  8.00000000e-07  1.19991830e+01 
 1.60000000e-06  1.60000000e-06  1.60000000e-06  3.59991830e+01  1.60000000e-06  2.40008170e+01  1.60000000e-06  1.19983661e+01 
 3.20000000e-06  3.20000000e-06  3.20000000e-06  3.59983662e+01  3.20000000e-06  2.40016338e+01  3.20000000e-06  1.19967324e+01 
 6.40000000e-06  6.40000000e-06  6.40000000e-06  3.59967328e+01  6.40000000e-06  2.40032672e+01  6.40000000e-06  1.19934656e+01 
 1.28000000e-05  1.28000000e-05  1.28000000e-05  3.59934674e+01  1.28000000e-05  2.40065326e+01  1.28000000e-05  1.19869348e+01 
 2.00000000e-05  2.00000000e-05  2.00000000e-05  3.59897959e+01  2.00000000e-05  2.40102041e+01  2.00000000e-05  1.19795918e+01 
 2.12800000e-05  2.12800000e-05  2.12800000e-05  3.59891435e+01  2.12800000e-05  2.40108565e+01  2.12800000e-05  1.19782870e+01 
 2.38400000e-05  2.38400000e-05  2.38400000e-05  3.59878388e+01  2.38400000e-05  2.40121612e+01  2.38400000e-05  1.19756776e+01 
 2.89600000e-05  2.89600000e-05  2.89600000e-05  3.59852302e+01  2.89600000e-05  2.40147698e+01  2.89600000e-05  1.19704604e+01 
 3.92000000e-05  3.92000000e-05  3.92000000e-05  3.59800164e+01  3.92000000e-05  2.40199836e+01  3.92000000e-05  1.19600329e+01 
 5.92000000e-05  5.92000000e-05  5.92000000e-05  3.59698464e+01  5.92000000e-05  2.40301536e+01  5.92000000e-05  1.19396927e+01 
