 1.00000000e-07  1.00000000e-07  1.00000000e-07  3.25000000e+02  1.00000000e-07  5.46138574e-03  1.00000000e-07  3.32054614e+02 
 1.00028000e-07  1.00028000e-07  1.00028000e-07  3.25000000e+02  1.00028000e-07  5.46291493e-03  1.00028000e-07  3.32054629e+02 
 1.00084000e-07  1.00084000e-07  1.00084000e-07  3.25000000e+02  1.00084000e-07  5.46597331e-03  1.00084000e-07  3.32054660e+02 
 1.00196000e-07  1.00196000e-07  1.00196000e-07  3.25000000e+02  1.00196000e-07  5.47209005e-03  1.00196000e-07  3.32054721e+02 
 1.00420000e-07  1.00420000e-07  1.00420000e-07  3.25000000e+02  1.00420000e-07  5.48432354e-03  1.00420000e-07  3.32054843e+02 
 1.00868000e-07  1.00868000e-07  1.00868000e-07  3.25000000e+02  1.00868000e-07  5.50879048e-03  1.00868000e-07  3.32055088e+02 
 1.01764000e-07  1.01764000e-07  1.01764000e-07  3.25000000e+02  1.01764000e-07  5.55772420e-03  1.01764000e-07  3.32055577e+02 
 1.03556000e-07  1.03556000e-07  1.03556000e-07  3.25000000e+02  1.03556000e-07  5.65559104e-03  1.03556000e-07  3.32056556e+02 
 1.07140000e-07  1.07140000e-07  1.07140000e-07  3.25000000e+02  1.07140000e-07  5.85132231e-03  1.07140000e-07  3.32058513e+02 
 1.14308000e-07  1.14308000e-07  1.14308000e-07  3.25000000e+02  1.14308000e-07  6.24277523e-03  1.14308000e-07  3.32062428e+02 
 1.28644000e-07  1.28644000e-07  1.28644000e-07  3.25000000e+02  1.28644000e-07  7.02564253e-03  1.28644000e-07  3.32070256e+02 
 1.57316000e-07  1.57316000e-07  1.57316000e-07  3.25000000e+02  1.57316000e-07  8.59122305e-03  1.57316000e-07  3.32085912e+02 
 2.14660000e-07  2.14660000e-07  2.14660000e-07  3.25000000e+02  2.14660000e-07  1.17217678e-02  2.14660000e-07  3.32117218e+02 
 3.29348000e-07  3.29348000e-07  3.29348000e-07  3.25000000e+02  3.29348000e-07  1.79803931e-02  3.29348000e-07  3.32179804e+02 
 5.58724000e-07  5.58724000e-07  5.58724000e-07  3.25000000e+02  5.58724000e-07  3.04877937e-02  5.58724000e-07  3.32304878e+02 
 1.01747600e-06  1.01747600e-06  1.01747600e-06  3.25000000e+02  1.01747600e-06  5.54632502e-02  1.01747600e-06  3.32554633e+02 
 1.93498000e-06  1.93498000e-06  1.93498000e-06  3.25000000e+02  1.93498000e-06  1.05257223e-01  1.93498000e-06  3.33052572e+02 
 3.76998800e-06  3.76998800e-06  3.76998800e-06  3.25000000e+02  3.76998800e-06  2.04220908e-01  3.76998800e-06  3.34042209e+02 
 6.88499400e-06  6.88499400e-06  6.88499400e-06  3.25000000e+02  6.88499400e-06  3.70328904e-01  6.88499400e-06  3.35703289e+02 
 1.00000000e-05  1.00000000e-05  1.00000000e-05  3.25000000e+02  1.00000000e-05  5.34088648e-01  1.00000000e-05  3.37340886e+02 
 1.06230012e-05  1.06230012e-05  1.06230012e-05  3.25000000e+02  1.06230012e-05  5.66513314e-01  1.06230012e-05  3.37665133e+02 
 1.18690036e-05  1.18690036e-05  1.18690036e-05  3.25000000e+02  1.18690036e-05  6.31141500e-01  1.18690036e-05  3.38311415e+02 
 1.43610084e-05  1.43610084e-05  1.43610084e-05  3.25000000e+02  1.43610084e-05  7.59343598e-01  1.43610084e-05  3.39593436e+02 
