 6.00000132e-03  6.00000132e-03  6.00000132e-03  3.25000000e+02  6.00000132e-03  2.20432304e+01  6.00000132e-03  1.21706265e+01  6.00000132e-03  2.96394151e-04 
 6.00000396e-03  6.00000396e-03  6.00000396e-03  3.25000000e+02  6.00000396e-03  2.18457416e+01  6.00000396e-03  1.21706243e+01  6.00000396e-03  3.22145097e-04 
 6.00000924e-03  6.00000924e-03  6.00000924e-03  3.25000000e+02  6.00000924e-03  2.14066641e+01  6.00000924e-03  1.21706199e+01  6.00000924e-03  3.72005622e-04 
 6.00001179e-03  6.00001179e-03  6.00001179e-03  3.25000000e+02  6.00001179e-03  2.11757385e+01  6.00001179e-03  1.21706178e+01  6.00001179e-03  3.95230896e-04 
 6.00001625e-03  6.00001625e-03  6.00001625e-03  3.25000000e+02  6.00001625e-03  2.07424781e+01  6.00001625e-03  1.21706141e+01  6.00001625e-03  4.34400813e-04 
 6.00001748e-03  6.00001748e-03  6.00001748e-03  3.25000000e+02  6.00001748e-03  2.06144264e+01  6.00001748e-03  1.21706131e+01  6.00001748e-03  4.44899147e-04 
 6.00001964e-03  6.00001964e-03  6.00001964e-03  3.25000000e+02  6.00001964e-03  2.03860311e+01  6.00001964e-03  1.21706113e+01  6.00001964e-03  4.62890080e-04 
 6.00002024e-03  6.00002024e-03  6.00002024e-03  3.25000000e+02  6.00002024e-03  2.03212667e+01  6.00002024e-03  1.21706108e+01  6.00002024e-03  4.67782711e-04 
 6.00002129e-03  6.00002129e-03  6.00002129e-03  3.25000000e+02  6.00002129e-03  2.02071025e+01  6.00002129e-03  1.21706100e+01  6.00002129e-03  4.76251633e-04 
 6.00002158e-03  6.00002158e-03  6.00002158e-03  3.25000000e+02  6.00002158e-03  2.01751677e+01  6.00002158e-03  1.21706097e+01  6.00002158e-03  4.78574619e-04 
 6.00002209e-03  6.00002209e-03  6.00002209e-03  3.25000000e+02  6.00002209e-03  2.01191041e+01  6.00002209e-03  1.21706093e+01  6.00002209e-03  4.82617589e-04 
 6.00002213e-03  6.00002213e-03  6.00002213e-03  3.25000000e+02  6.00002213e-03  2.01138587e+01  6.00002213e-03  1.21706093e+01  6.00002213e-03  4.82979702e-04 
 6.00002222e-03  6.00002222e-03  6.00002222e-03  3.25000000e+02  6.00002222e-03  2.01035888e+01  6.00002222e-03  1.21706092e+01  6.00002222e-03  4.83703228e-04 
 6.00002240e-03  6.00002240e-03  6.00002240e-03  3.25000000e+02  6.00002240e-03  2.00831928e+01  6.00002240e-03  1.21706090e+01  6.00002240e-03  4.85147489e-04 
 6.00002242e-03  6.00002242e-03  6.00002242e-03  3.25000000e+02  6.00002242e-03  2.00811503e+01  6.00002242e-03  1.21706090e+01  6.00002242e-03  4.85279332e-04 
 6.00002245e-03  6.00002245e-03  6.00002245e-03  3.25000000e+02  6.00002245e-03  2.00772886e+01  6.00002245e-03  1.21706090e+01  6.00002245e-03  4.85542920e-04 
