wp_wn_ratio,vm_v,vil_v,vih_v,vol_v,voh_v,nml_v,nmh_v,gain_max
1.0,1.051204475180391,0.7648094512669986,1.21250001,1.38068305e-09,2.5,0.7648094498863156,1.28749999,46.492110966310776
1.5,1.1293807162167626,0.8604251406356536,1.32083334,1.38068305e-09,2.5,0.8604251392549706,1.17916666,44.754123796700554
2.0,1.186301992313789,0.9340761297371222,1.39583334,1.38068305e-09,2.5,0.9340761283564392,1.10416666,43.997081651899975
2.75,1.2500002104411196,1.0189599406894432,1.48333335,1.38068305e-09,2.5,1.01895993930876,1.01666665,43.70140543887524
4.0,1.3248913824486623,1.120409980217133,1.58333335,1.38068305e-09,2.5,1.1204099788364499,0.91666665,44.110869650022224
6.0,1.4045313546683726,1.22853949745932,1.68333335,1.38068305e-09,2.5,1.2285394960786369,0.8166666499999999,45.39393004778964
8.0,1.4593838699380421,1.3025097972579205,1.75000001,1.38068305e-09,2.5,1.3025097958772374,0.7499999900000001,46.84697012242475
