vdd_v,vm_v,vil_v,vih_v,vol_v,voh_v,nml_v,nmh_v,gain_max
0.8,0.4,0.368008878366375,0.431999989,2.48768269e-09,0.799999998,0.36800887587869235,0.368000009,150.0001265976967
1.0,0.4999999917372879,0.48164879918701076,0.52000001,2.01944398e-09,1.00000019,0.48164879716756676,0.48000018,265.94351280129575
1.2,0.6000005506157772,0.5541708574434524,0.646,1.7857022e-09,1.20000001,0.5541708556577501,0.5540000099999999,203.1229317499998
1.5,0.7500003023280439,0.6627784609410398,0.8375,1.60364458e-09,1.5,0.6627784593373952,0.6625,108.85080520000231
1.8,0.9000002411895237,0.7705609756097545,1.032,1.50131992e-09,1.8,0.7705609741084345,0.768,74.75023683333325
2.5,1.2500002104411196,1.0189599406894432,1.48333335,1.38068305e-09,2.5,1.01895993930876,1.01666665,43.70140543887524
