cload_fF,tp_ps,tphl_ps,tplh_ps
5.0,10.879723732517785,11.234371824418469,10.525075640617104
10.0,14.25772345782394,14.757170094125415,13.758276821522465
20.0,20.696361149378248,21.27886347823181,20.11385882052469
50.0,39.48514768292955,40.14529860819408,38.82499675766502
100.0,70.55384457462934,71.22399368047104,69.88369546878765
200.0,132.47579229202745,133.19925609923087,131.75232848482403
