input_slew_ps,tp_ps,tphl_ps,tplh_ps
5.0,17.767617287013948,18.48353468191212,17.051699892115778
20.0,20.696361149378248,21.27886347823181,20.11385882052469
50.0,27.137527921308592,27.477270763700737,26.79778507891645
100.0,35.9439895720663,36.37895555635954,35.509023587773065
200.0,47.297320561275995,47.81245978498408,46.78218133756791
500.00000000000006,68.05488559213815,68.60917778586436,67.50059339841195
