 1.00000000e+08  1.00000000e+08  0.00000000e+00  1.00000000e+08  1.11954886e+01  1.00000000e+08  1.11954859e+01  1.00000000e+08  2.18452781e-02  1.00000000e+08  2.14682935e-02 
 1.00771154e+08  1.00771154e+08  0.00000000e+00  1.00771154e+08  1.11955175e+01  1.00771154e+08  1.11955146e+01  1.00771154e+08  2.20137036e-02  1.00771154e+08  2.16338118e-02 
 1.01548254e+08  1.01548254e+08  0.00000000e+00  1.01548254e+08  1.11955467e+01  1.01548254e+08  1.11955438e+01  1.01548254e+08  2.21834271e-02  1.01548254e+08  2.18006058e-02 
 1.02331347e+08  1.02331347e+08  0.00000000e+00  1.02331347e+08  1.11955764e+01  1.02331347e+08  1.11955735e+01  1.02331347e+08  2.23544585e-02  1.02331347e+08  2.19686851e-02 
 1.03120479e+08  1.03120479e+08  0.00000000e+00  1.03120479e+08  1.11956066e+01  1.03120479e+08  1.11956036e+01  1.03120479e+08  2.25268081e-02  1.03120479e+08  2.21380597e-02 
 1.03915696e+08  1.03915696e+08  0.00000000e+00  1.03915696e+08  1.11956372e+01  1.03915696e+08  1.11956342e+01  1.03915696e+08  2.27004858e-02  1.03915696e+08  2.23087396e-02 
 1.04717046e+08  1.04717046e+08  0.00000000e+00  1.04717046e+08  1.11956683e+01  1.04717046e+08  1.11956653e+01  1.04717046e+08  2.28755019e-02  1.04717046e+08  2.24807348e-02 
 1.05524575e+08  1.05524575e+08  0.00000000e+00  1.05524575e+08  1.11956999e+01  1.05524575e+08  1.11956968e+01  1.05524575e+08  2.30518668e-02  1.05524575e+08  2.26540554e-02 
 1.06338332e+08  1.06338332e+08  0.00000000e+00  1.06338332e+08  1.11957320e+01  1.06338332e+08  1.11957288e+01  1.06338332e+08  2.32295908e-02  1.06338332e+08  2.28287116e-02 
 1.07158364e+08  1.07158364e+08  0.00000000e+00  1.07158364e+08  1.11957645e+01  1.07158364e+08  1.11957614e+01  1.07158364e+08  2.34086843e-02  1.07158364e+08  2.30047138e-02 
 1.07984719e+08  1.07984719e+08  0.00000000e+00  1.07984719e+08  1.11957976e+01  1.07984719e+08  1.11957944e+01  1.07984719e+08  2.35891579e-02  1.07984719e+08  2.31820722e-02 
 1.08817447e+08  1.08817447e+08  0.00000000e+00  1.08817447e+08  1.11958312e+01  1.08817447e+08  1.11958279e+01  1.08817447e+08  2.37710223e-02  1.08817447e+08  2.33607973e-02 
 1.09656597e+08  1.09656597e+08  0.00000000e+00  1.09656597e+08  1.11958653e+01  1.09656597e+08  1.11958620e+01  1.09656597e+08  2.39542881e-02  1.09656597e+08  2.35408996e-02 
 1.10502218e+08  1.10502218e+08  0.00000000e+00  1.10502218e+08  1.11959000e+01  1.10502218e+08  1.11958966e+01  1.10502218e+08  2.41389660e-02  1.10502218e+08  2.37223897e-02 
 1.11354360e+08  1.11354360e+08  0.00000000e+00  1.11354360e+08  1.11959351e+01  1.11354360e+08  1.11959317e+01  1.11354360e+08  2.43250671e-02  1.11354360e+08  2.39052783e-02 
 1.12213073e+08  1.12213073e+08  0.00000000e+00  1.12213073e+08  1.11959708e+01  1.12213073e+08  1.11959673e+01  1.12213073e+08  2.45126022e-02  1.12213073e+08  2.40895762e-02 
 1.13078408e+08  1.13078408e+08  0.00000000e+00  1.13078408e+08  1.11960071e+01  1.13078408e+08  1.11960036e+01  1.13078408e+08  2.47015823e-02  1.13078408e+08  2.42752941e-02 
 1.13950416e+08  1.13950416e+08  0.00000000e+00  1.13950416e+08  1.11960439e+01  1.13950416e+08  1.11960403e+01  1.13950416e+08  2.48920186e-02  1.13950416e+08  2.44624431e-02 
 1.14829149e+08  1.14829149e+08  0.00000000e+00  1.14829149e+08  1.11960813e+01  1.14829149e+08  1.11960777e+01  1.14829149e+08  2.50839222e-02  1.14829149e+08  2.46510341e-02 
 1.15714658e+08  1.15714658e+08  0.00000000e+00  1.15714658e+08  1.11961193e+01  1.15714658e+08  1.11961156e+01  1.15714658e+08  2.52773046e-02  1.15714658e+08  2.48410782e-02 
 1.16606996e+08  1.16606996e+08  0.00000000e+00  1.16606996e+08  1.11961579e+01  1.16606996e+08  1.11961541e+01  1.16606996e+08  2.54721769e-02  1.16606996e+08  2.50325866e-02 
 1.17506215e+08  1.17506215e+08  0.00000000e+00  1.17506215e+08  1.11961971e+01  1.17506215e+08  1.11961932e+01  1.17506215e+08  2.56685508e-02  1.17506215e+08  2.52255705e-02 
 1.18412368e+08  1.18412368e+08  0.00000000e+00  1.18412368e+08  1.11962368e+01  1.18412368e+08  1.11962329e+01  1.18412368e+08  2.58664376e-02  1.18412368e+08  2.54200413e-02 
 1.19325509e+08  1.19325509e+08  0.00000000e+00  1.19325509e+08  1.11962772e+01  1.19325509e+08  1.11962733e+01  1.19325509e+08  2.60658492e-02  1.19325509e+08  2.56160105e-02 
 1.20245692e+08  1.20245692e+08  0.00000000e+00  1.20245692e+08  1.11963182e+01  1.20245692e+08  1.11963142e+01  1.20245692e+08  2.62667972e-02  1.20245692e+08  2.58134896e-02 
 1.21172971e+08  1.21172971e+08  0.00000000e+00  1.21172971e+08  1.11963599e+01  1.21172971e+08  1.11963558e+01  1.21172971e+08  2.64692934e-02  1.21172971e+08  2.60124901e-02 
 1.22107401e+08  1.22107401e+08  0.00000000e+00  1.22107401e+08  1.11964022e+01  1.22107401e+08  1.11963980e+01  1.22107401e+08  2.66733497e-02  1.22107401e+08  2.62130238e-02 
 1.23049037e+08  1.23049037e+08  0.00000000e+00  1.23049037e+08  1.11964451e+01  1.23049037e+08  1.11964409e+01  1.23049037e+08  2.68789782e-02  1.23049037e+08  2.64151024e-02 
 1.23997934e+08  1.23997934e+08  0.00000000e+00  1.23997934e+08  1.11964887e+01  1.23997934e+08  1.11964844e+01  1.23997934e+08  2.70861909e-02  1.23997934e+08  2.66187379e-02 
 1.24954148e+08  1.24954148e+08  0.00000000e+00  1.24954148e+08  1.11965330e+01  1.24954148e+08  1.11965287e+01  1.24954148e+08  2.72950000e-02  1.24954148e+08  2.68239422e-02 
 1.25917737e+08  1.25917737e+08  0.00000000e+00  1.25917737e+08  1.11965780e+01  1.25917737e+08  1.11965736e+01  1.25917737e+08  2.75054178e-02  1.25917737e+08  2.70307274e-02 
 1.26888756e+08  1.26888756e+08  0.00000000e+00  1.26888756e+08  1.11966236e+01  1.26888756e+08  1.11966192e+01  1.26888756e+08  2.77174566e-02  1.26888756e+08  2.72391056e-02 
 1.27867263e+08  1.27867263e+08  0.00000000e+00  1.27867263e+08  1.11966700e+01  1.27867263e+08  1.11966655e+01  1.27867263e+08  2.79311289e-02  1.27867263e+08  2.74490891e-02 
 1.28853316e+08  1.28853316e+08  0.00000000e+00  1.28853316e+08  1.11967171e+01  1.28853316e+08  1.11967125e+01  1.28853316e+08  2.81464473e-02  1.28853316e+08  2.76606903e-02 
 1.29846973e+08  1.29846973e+08  0.00000000e+00  1.29846973e+08  1.11967649e+01  1.29846973e+08  1.11967602e+01  1.29846973e+08  2.83634244e-02  1.29846973e+08  2.78739215e-02 
