 time            time            v(rfp)          v(lop)          voutdiff       
 4.75000000e-09  4.75000000e-09  8.52810417e-01  1.15000000e+00 -5.02941585e-02 
 4.85000000e-09  4.85000000e-09  8.52862161e-01  1.15000000e+00 -5.12298807e-02 
 4.95000000e-09  4.95000000e-09  8.52913452e-01  1.15000000e+00 -5.21574895e-02 
 5.05000000e-09  5.05000000e-09  8.52964284e-01  1.15000000e+00 -5.30768396e-02 
 5.15000000e-09  5.15000000e-09  8.53014648e-01  1.15000000e+00 -5.39877853e-02 
 5.25000000e-09  5.25000000e-09  8.53064535e-01  1.15000000e+00 -5.48901837e-02 
 5.35000000e-09  5.35000000e-09  8.53113939e-01  1.15000000e+00 -5.57839003e-02 
 5.45000000e-09  5.45000000e-09  8.53162851e-01  1.15000000e+00 -5.66687852e-02 
 5.55000000e-09  5.55000000e-09  8.53211263e-01  1.15000000e+00 -5.75446915e-02 
 5.65000000e-09  5.65000000e-09  8.53259169e-01  1.15000000e+00 -5.84114921e-02 
 5.75000000e-09  5.75000000e-09  8.53306559e-01  1.15000000e+00 -5.92690483e-02 
 5.85000000e-09  5.85000000e-09  8.53353428e-01  1.15000000e+00 -6.01172251e-02 
 5.95000000e-09  5.95000000e-09  8.53399767e-01  1.15000000e+00 -6.09558896e-02 
 6.05000000e-09  6.05000000e-09  8.53445569e-01  1.15000000e+00 -6.17849095e-02 
 6.15000000e-09  6.15000000e-09  8.53490827e-01  1.15000000e+00 -6.26041547e-02 
 6.25000000e-09  6.25000000e-09  8.53535534e-01  1.15000000e+00 -6.34134962e-02 
 6.35000000e-09  6.35000000e-09  8.53579682e-01  1.15000000e+00 -6.42128069e-02 
 6.45000000e-09  6.45000000e-09  8.53623266e-01  1.15000000e+00 -6.50019613e-02 
 6.55000000e-09  6.55000000e-09  8.53666277e-01  1.15000000e+00 -6.57808354e-02 
 6.65000000e-09  6.65000000e-09  8.53708709e-01  1.15000000e+00 -6.65493069e-02 
 6.75000000e-09  6.75000000e-09  8.53750555e-01  1.15000000e+00 -6.73072551e-02 
 6.85000000e-09  6.85000000e-09  8.53791810e-01  1.15000000e+00 -6.80545610e-02 
 6.95000000e-09  6.95000000e-09  8.53832465e-01  1.15000000e+00 -6.87911075e-02 
 7.05000000e-09  7.05000000e-09  8.53872515e-01  1.15000000e+00 -6.95167789e-02 
 7.15000000e-09  7.15000000e-09  8.53911954e-01  1.15000000e+00 -7.02314615e-02 
 7.25000000e-09  7.25000000e-09  8.53950775e-01  1.15000000e+00 -7.09350431e-02 
 7.35000000e-09  7.35000000e-09  8.53988972e-01  1.15000000e+00 -7.16274136e-02 
 7.45000000e-09  7.45000000e-09  8.54026539e-01  1.15000000e+00 -7.23084643e-02 
 7.55000000e-09  7.55000000e-09  8.54063471e-01  1.15000000e+00 -7.29780886e-02 
 7.65000000e-09  7.65000000e-09  8.54099761e-01  1.15000000e+00 -7.36361816e-02 
 7.75000000e-09  7.75000000e-09  8.54135403e-01  1.15000000e+00 -7.42826403e-02 
 7.85000000e-09  7.85000000e-09  8.54170392e-01  1.15000000e+00 -7.49173633e-02 
 7.95000000e-09  7.95000000e-09  8.54204723e-01  1.15000000e+00 -7.55402514e-02 
 8.05000000e-09  8.05000000e-09  8.54238390e-01  1.15000000e+00 -7.61512071e-02 
 8.15000000e-09  8.15000000e-09  8.54271387e-01  1.15000000e+00 -7.67501348e-02 
 8.25000000e-09  8.25000000e-09  8.54303710e-01  1.15000000e+00 -7.73369409e-02 
 8.35000000e-09  8.35000000e-09  8.54335354e-01  1.15000000e+00 -7.79115334e-02 
 8.45000000e-09  8.45000000e-09  8.54366312e-01  1.15000000e+00 -7.84738227e-02 
 8.55000000e-09  8.55000000e-09  8.54396582e-01  1.15000000e+00 -7.90237208e-02 
 8.65000000e-09  8.65000000e-09  8.54426157e-01  1.15000000e+00 -7.95611417e-02 
 8.75000000e-09  8.75000000e-09  8.54455033e-01  1.15000000e+00 -8.00860016e-02 
 8.85000000e-09  8.85000000e-09  8.54483205e-01  1.15000000e+00 -8.05982184e-02 
 8.95000000e-09  8.95000000e-09  8.54510670e-01  1.15000000e+00 -8.10977121e-02 
 9.05000000e-09  9.05000000e-09  8.54537422e-01  1.15000000e+00 -8.15844047e-02 
 9.15000000e-09  9.15000000e-09  8.54563458e-01  1.15000000e+00 -8.20582203e-02 
 9.25000000e-09  9.25000000e-09  8.54588773e-01  1.15000000e+00 -8.25190848e-02 
