 frequency       frequency       frequency       cgate           cgate          
 4.73151259e+04  4.73151259e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.01187234e+04  5.01187234e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.30884444e+04  5.30884444e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.62341325e+04  5.62341325e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.95662144e+04  5.95662144e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 6.30957344e+04  6.30957344e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 6.68343918e+04  6.68343918e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.07945784e+04  7.07945784e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.49894209e+04  7.49894209e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.94328235e+04  7.94328235e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 8.41395142e+04  8.41395142e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 8.91250938e+04  8.91250938e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 9.44060876e+04  9.44060876e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.00000000e+05  1.00000000e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.05925373e+05  1.05925373e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.12201845e+05  1.12201845e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.18850223e+05  1.18850223e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.25892541e+05  1.25892541e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.33352143e+05  1.33352143e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.41253754e+05  1.41253754e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.49623566e+05  1.49623566e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.58489319e+05  1.58489319e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.67880402e+05  1.67880402e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.77827941e+05  1.77827941e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.88364909e+05  1.88364909e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.99526231e+05  1.99526231e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.11348904e+05  2.11348904e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.23872114e+05  2.23872114e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.37137371e+05  2.37137371e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.51188643e+05  2.51188643e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.66072506e+05  2.66072506e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.81838293e+05  2.81838293e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.98538262e+05  2.98538262e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.16227766e+05  3.16227766e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.34965439e+05  3.34965439e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.54813389e+05  3.54813389e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.75837404e+05  3.75837404e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.98107171e+05  3.98107171e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 4.21696503e+05  4.21696503e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 4.46683592e+05  4.46683592e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 4.73151259e+05  4.73151259e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.01187234e+05  5.01187234e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.30884444e+05  5.30884444e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.62341325e+05  5.62341325e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.95662144e+05  5.95662144e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 6.30957344e+05  6.30957344e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 6.68343918e+05  6.68343918e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.07945784e+05  7.07945784e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.49894209e+05  7.49894209e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.94328235e+05  7.94328235e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 8.41395142e+05  8.41395142e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 8.91250938e+05  8.91250938e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 9.44060876e+05  9.44060876e+05  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.00000000e+06  1.00000000e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.05925373e+06  1.05925373e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.12201845e+06  1.12201845e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
