 v-sweep         v(out1)         i(vout1)       
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 9.20000000e-01  9.20000000e-01 -5.13190150e-05 
 9.30000000e-01  9.30000000e-01 -5.13572557e-05 
 9.40000000e-01  9.40000000e-01 -5.13954964e-05 
 9.50000000e-01  9.50000000e-01 -5.14337371e-05 
 9.60000000e-01  9.60000000e-01 -5.14719778e-05 
 9.70000000e-01  9.70000000e-01 -5.15102186e-05 
 9.80000000e-01  9.80000000e-01 -5.15484593e-05 
 9.90000000e-01  9.90000000e-01 -5.15867000e-05 
 1.00000000e+00  1.00000000e+00 -5.16249407e-05 
 1.01000000e+00  1.01000000e+00 -5.16631814e-05 
 1.02000000e+00  1.02000000e+00 -5.17014221e-05 
 1.03000000e+00  1.03000000e+00 -5.17396628e-05 
 1.04000000e+00  1.04000000e+00 -5.17779035e-05 
 1.05000000e+00  1.05000000e+00 -5.18161442e-05 
 1.06000000e+00  1.06000000e+00 -5.18543849e-05 
 1.07000000e+00  1.07000000e+00 -5.18926256e-05 
 1.08000000e+00  1.08000000e+00 -5.19308663e-05 
 1.09000000e+00  1.09000000e+00 -5.19691070e-05 
 1.10000000e+00  1.10000000e+00 -5.20073477e-05 
 1.11000000e+00  1.11000000e+00 -5.20455884e-05 
 1.12000000e+00  1.12000000e+00 -5.20838291e-05 
 1.13000000e+00  1.13000000e+00 -5.21220699e-05 
 1.14000000e+00  1.14000000e+00 -5.21603106e-05 
 1.15000000e+00  1.15000000e+00 -5.21985513e-05 
 1.16000000e+00  1.16000000e+00 -5.22367920e-05 
 1.17000000e+00  1.17000000e+00 -5.22750327e-05 
 1.18000000e+00  1.18000000e+00 -5.23132734e-05 
 1.19000000e+00  1.19000000e+00 -5.23515141e-05 
 1.20000000e+00  1.20000000e+00 -5.23897548e-05 
 1.21000000e+00  1.21000000e+00 -5.24279955e-05 
 1.22000000e+00  1.22000000e+00 -5.24662362e-05 
 1.23000000e+00  1.23000000e+00 -5.25044769e-05 
 1.24000000e+00  1.24000000e+00 -5.25427176e-05 
 1.25000000e+00  1.25000000e+00 -5.25809583e-05 
 1.26000000e+00  1.26000000e+00 -5.26191990e-05 
 1.27000000e+00  1.27000000e+00 -5.26574397e-05 
 1.28000000e+00  1.28000000e+00 -5.26956804e-05 
 1.29000000e+00  1.29000000e+00 -5.27339211e-05 
 1.30000000e+00  1.30000000e+00 -5.27721619e-05 
 1.31000000e+00  1.31000000e+00 -5.28104026e-05 
 1.32000000e+00  1.32000000e+00 -5.28486433e-05 
 1.33000000e+00  1.33000000e+00 -5.28868840e-05 
 1.34000000e+00  1.34000000e+00 -5.29251247e-05 
 1.35000000e+00  1.35000000e+00 -5.29633654e-05 
 1.36000000e+00  1.36000000e+00 -5.30016061e-05 
 1.37000000e+00  1.37000000e+00 -5.30398468e-05 
 1.38000000e+00  1.38000000e+00 -5.30780875e-05 
 1.39000000e+00  1.39000000e+00 -5.31163282e-05 
 1.40000000e+00  1.40000000e+00 -5.31545689e-05 
 1.41000000e+00  1.41000000e+00 -5.31928096e-05 
 1.42000000e+00  1.42000000e+00 -5.32310503e-05 
 1.43000000e+00  1.43000000e+00 -5.32692910e-05 
 1.44000000e+00  1.44000000e+00 -5.33075317e-05 
 1.45000000e+00  1.45000000e+00 -5.33457724e-05 
 1.46000000e+00  1.46000000e+00 -5.33840131e-05 
 1.47000000e+00  1.47000000e+00 -5.34222539e-05 
 1.48000000e+00  1.48000000e+00 -5.34604946e-05 
 1.49000000e+00  1.49000000e+00 -5.34987353e-05 
 1.50000000e+00  1.50000000e+00 -5.35369760e-05 
 1.51000000e+00  1.51000000e+00 -5.35752167e-05 
 1.52000000e+00  1.52000000e+00 -5.36134574e-05 
 1.53000000e+00  1.53000000e+00 -5.36516981e-05 
 1.54000000e+00  1.54000000e+00 -5.36899388e-05 
 1.55000000e+00  1.55000000e+00 -5.37281795e-05 
 1.56000000e+00  1.56000000e+00 -5.37664202e-05 
 1.57000000e+00  1.57000000e+00 -5.38046609e-05 
 1.58000000e+00  1.58000000e+00 -5.38429016e-05 
 1.59000000e+00  1.59000000e+00 -5.38811423e-05 
 1.60000000e+00  1.60000000e+00 -5.39193830e-05 
 1.61000000e+00  1.61000000e+00 -5.39576237e-05 
 1.62000000e+00  1.62000000e+00 -5.39958644e-05 
 1.63000000e+00  1.63000000e+00 -5.40341052e-05 
 1.64000000e+00  1.64000000e+00 -5.40723459e-05 
 1.65000000e+00  1.65000000e+00 -5.41105866e-05 
 1.66000000e+00  1.66000000e+00 -5.41488273e-05 
 1.67000000e+00  1.67000000e+00 -5.41870680e-05 
 1.68000000e+00  1.68000000e+00 -5.42253087e-05 
 1.69000000e+00  1.69000000e+00 -5.42635494e-05 
 1.70000000e+00  1.70000000e+00 -5.43017901e-05 
 1.71000000e+00  1.71000000e+00 -5.43400308e-05 
 1.72000000e+00  1.72000000e+00 -5.43782715e-05 
 1.73000000e+00  1.73000000e+00 -5.44165122e-05 
 1.74000000e+00  1.74000000e+00 -5.44547529e-05 
 1.75000000e+00  1.75000000e+00 -5.44929936e-05 
 1.76000000e+00  1.76000000e+00 -5.45312343e-05 
 1.77000000e+00  1.77000000e+00 -5.45694750e-05 
 1.78000000e+00  1.78000000e+00 -5.46077157e-05 
 1.79000000e+00  1.79000000e+00 -5.46459564e-05 
 1.80000000e+00  1.80000000e+00 -5.46841972e-05 
