 time            time            v(n1)           v(n2)           v(n3)           v(n4)           v(n5)          
 2.78579830e-11  2.78579830e-11  1.04736536e-01  1.76902717e+00  7.28781652e-01  1.00442205e+00  2.64893992e+00 
 2.88579830e-11  2.88579830e-11  1.01272824e-01  1.80190393e+00  7.10701411e-01  1.03066840e+00  2.64178817e+00 
 2.98579830e-11  2.98579830e-11  9.79273010e-02  1.83348723e+00  6.92003762e-01  1.05779926e+00  2.63458536e+00 
 3.08579830e-11  3.08579830e-11  9.46879449e-02  1.86380887e+00  6.72822078e-01  1.08584034e+00  2.62728626e+00 
 3.18579830e-11  3.18579830e-11  9.15440534e-02  1.89290221e+00  6.53281727e-01  1.11480956e+00  2.61984255e+00 
 3.28579830e-11  3.28579830e-11  8.84908186e-02  1.92079861e+00  6.33786580e-01  1.14439244e+00  2.61214938e+00 
 3.38579830e-11  3.38579830e-11  8.55183359e-02  1.94754328e+00  6.14560471e-01  1.17435782e+00  2.60413371e+00 
 3.48579830e-11  3.48579830e-11  8.26129333e-02  1.97318348e+00  5.95516950e-01  1.20475588e+00  2.59577446e+00 
 3.58579830e-11  3.58579830e-11  7.97679336e-02  1.99775173e+00  5.76704776e-01  1.23551801e+00  2.58701679e+00 
 3.68579830e-11  3.68579830e-11  7.69773563e-02  2.02128099e+00  5.58167308e-01  1.26657186e+00  2.57780514e+00 
 3.78579830e-11  3.78579830e-11  7.42358222e-02  2.04380442e+00  5.39942620e-01  1.29784246e+00  2.56808336e+00 
 3.88579830e-11  3.88579830e-11  7.15384662e-02  2.06535524e+00  5.22063667e-01  1.32925332e+00  2.55779482e+00 
 3.98579830e-11  3.98579830e-11  6.88823878e-02  2.08598030e+00  5.04557280e-01  1.36072744e+00  2.54688254e+00 
 4.08579830e-11  4.08579830e-11  6.62649993e-02  2.10572648e+00  4.87439415e-01  1.39218787e+00  2.53528903e+00 
 4.18579830e-11  4.18579830e-11  6.36820922e-02  2.12462386e+00  4.70717478e-01  1.42355897e+00  2.52295614e+00 
 4.28579830e-11  4.28579830e-11  6.11293036e-02  2.14269860e+00  4.54396718e-01  1.45476765e+00  2.50982493e+00 
 4.38579830e-11  4.38579830e-11  5.86025395e-02  2.15997707e+00  4.38480833e-01  1.48574419e+00  2.49583549e+00 
 4.48579830e-11  4.48579830e-11  5.60979887e-02  2.17648564e+00  4.22970407e-01  1.51642319e+00  2.48092809e+00 
 4.58579830e-11  4.58579830e-11  5.36120967e-02  2.19225052e+00  4.07863345e-01  1.54674697e+00  2.46504362e+00 
 4.68579830e-11  4.68579830e-11  5.11413776e-02  2.20729800e+00  3.93158852e-01  1.57666622e+00  2.44812117e+00 
 4.78579830e-11  4.78579830e-11  4.86822103e-02  2.22165421e+00  3.78857245e-01  1.60613774e+00  2.43009571e+00 
 4.88579830e-11  4.88579830e-11  4.62306451e-02  2.23534497e+00  3.64957972e-01  1.63512497e+00  2.41089584e+00 
 4.98579830e-11  4.98579830e-11  4.37821610e-02  2.24839567e+00  3.51459906e-01  1.66359997e+00  2.39044044e+00 
 5.08579830e-11  5.08579830e-11  4.13315965e-02  2.26083120e+00  3.38361868e-01  1.69154756e+00  2.36863756e+00 
 5.18579830e-11  5.18579830e-11  3.88784884e-02  2.27267670e+00  3.25664363e-01  1.71898110e+00  2.34546142e+00 
 5.28579830e-11  5.28579830e-11  3.64204844e-02  2.28395666e+00  3.13370146e-01  1.74594754e+00  2.32086240e+00 
 5.38579830e-11  5.38579830e-11  3.39440315e-02  2.29469408e+00  3.01486890e-01  1.77255327e+00  2.29463089e+00 
 5.48579830e-11  5.48579830e-11  3.14225521e-02  2.30491115e+00  2.90039234e-01  1.79907926e+00  2.26635987e+00 
 5.58579830e-11  5.58579830e-11  2.88236116e-02  2.31462964e+00  2.79062119e-01  1.82591771e+00  2.23553909e+00 
 5.68579830e-11  5.68579830e-11  2.61817960e-02  2.32387224e+00  2.68500628e-01  1.85262358e+00  2.20261370e+00 
 5.78579830e-11  5.78579830e-11  2.35499580e-02  2.33266111e+00  2.58274990e-01  1.87852116e+00  2.16833447e+00 
 5.88579830e-11  5.88579830e-11  2.09299840e-02  2.34101658e+00  2.48377935e-01  1.90360590e+00  2.13276293e+00 
 5.98579830e-11  5.98579830e-11  1.83234115e-02  2.34895830e+00  2.38802340e-01  1.92787629e+00  2.09596195e+00 
 6.08579830e-11  6.08579830e-11  1.57310863e-02  2.35650512e+00  2.29540922e-01  1.95133285e+00  2.05797342e+00 
 6.18579830e-11  6.18579830e-11  1.31572954e-02  2.36367436e+00  2.20580018e-01  1.97399127e+00  2.01878887e+00 
 6.28579830e-11  6.28579830e-11  1.06561094e-02  2.37049043e+00  2.11918974e-01  1.99584119e+00  1.97841823e+00 
 6.38579830e-11  6.38579830e-11  8.29149902e-03  2.37697119e+00  2.03556644e-01  2.01687708e+00  1.93691810e+00 
 6.48579830e-11  6.48579830e-11  6.10573759e-03  2.38313047e+00  1.95479307e-01  2.03712487e+00  1.89434291e+00 
 6.58579830e-11  6.58579830e-11  4.15639735e-03  2.38899162e+00  1.87680315e-01  2.05659739e+00  1.85074744e+00 
 6.68579830e-11  6.68579830e-11  2.50311279e-03  2.39457688e+00  1.80153444e-01  2.07531333e+00  1.80618584e+00 
 6.78579830e-11  6.78579830e-11  1.20740164e-03  2.39990742e+00  1.72893423e-01  2.09330164e+00  1.76070770e+00 
 6.88579830e-11  6.88579830e-11  3.32705645e-04  2.40500335e+00  1.65894143e-01  2.11058549e+00  1.71435653e+00 
 6.98579830e-11  6.98579830e-11 -5.19046949e-05  2.40988389e+00  1.59143909e-01  2.12713930e+00  1.66722497e+00 
 7.08579830e-11  7.08579830e-11  1.30750643e-04  2.41456786e+00  1.52627838e-01  2.14290753e+00  1.61950609e+00 
 7.18579830e-11  7.18579830e-11  9.58097615e-04  2.41907351e+00  1.46337832e-01  2.15789193e+00  1.57140056e+00 
 7.28579830e-11  7.28579830e-11  2.50386422e-03  2.42341800e+00  1.40271111e-01  2.17214070e+00  1.52306592e+00 
 7.38579830e-11  7.38579830e-11  4.84068944e-03  2.42761743e+00  1.34424353e-01  2.18569852e+00  1.47465505e+00 
