 time            time            v(q)            v(qb)          
 3.47847681e-11  3.47847681e-11  9.01923524e-01  1.66725595e+00 
 3.52847681e-11  3.52847681e-11  8.93115945e-01  1.67393203e+00 
 3.57847681e-11  3.57847681e-11  8.84262578e-01  1.68071678e+00 
 3.62847681e-11  3.62847681e-11  8.75364649e-01  1.68760704e+00 
 3.67847681e-11  3.67847681e-11  8.66423521e-01  1.69459955e+00 
 3.72847681e-11  3.72847681e-11  8.57440690e-01  1.70169102e+00 
 3.77847681e-11  3.77847681e-11  8.48417785e-01  1.70887805e+00 
 3.82847681e-11  3.82847681e-11  8.39356562e-01  1.71615719e+00 
 3.87847681e-11  3.87847681e-11  8.30258903e-01  1.72352492e+00 
 3.92847681e-11  3.92847681e-11  8.21126812e-01  1.73097764e+00 
 3.97847681e-11  3.97847681e-11  8.11962406e-01  1.73851170e+00 
 4.02847681e-11  4.02847681e-11  8.02767920e-01  1.74612336e+00 
 4.07847681e-11  4.07847681e-11  7.93545694e-01  1.75380886e+00 
 4.12847681e-11  4.12847681e-11  7.84298172e-01  1.76156435e+00 
 4.17847681e-11  4.17847681e-11  7.75027897e-01  1.76938595e+00 
 4.22847681e-11  4.22847681e-11  7.65737505e-01  1.77726972e+00 
 4.27847681e-11  4.27847681e-11  7.56429720e-01  1.78521168e+00 
 4.32847681e-11  4.32847681e-11  7.47107346e-01  1.79320780e+00 
 4.37847681e-11  4.37847681e-11  7.37773265e-01  1.80125402e+00 
 4.42847681e-11  4.42847681e-11  7.28430428e-01  1.80934626e+00 
 4.47847681e-11  4.47847681e-11  7.19081851e-01  1.81748040e+00 
 4.52847681e-11  4.52847681e-11  7.09730604e-01  1.82565230e+00 
 4.57847681e-11  4.57847681e-11  7.00379811e-01  1.83385781e+00 
 4.62847681e-11  4.62847681e-11  6.91032639e-01  1.84209277e+00 
 4.67847681e-11  4.67847681e-11  6.81692291e-01  1.85035301e+00 
 4.72847681e-11  4.72847681e-11  6.72362002e-01  1.85863437e+00 
 4.77847681e-11  4.77847681e-11  6.63045032e-01  1.86693268e+00 
 4.82847681e-11  4.82847681e-11  6.53744655e-01  1.87524381e+00 
 4.87847681e-11  4.87847681e-11  6.44464157e-01  1.88356362e+00 
 4.92847681e-11  4.92847681e-11  6.35206827e-01  1.89188801e+00 
 4.97847681e-11  4.97847681e-11  6.25975950e-01  1.90021291e+00 
 5.02847681e-11  5.02847681e-11  6.16774803e-01  1.90853428e+00 
 5.07847681e-11  5.07847681e-11  6.07606645e-01  1.91684812e+00 
 5.12847681e-11  5.12847681e-11  5.98474711e-01  1.92515049e+00 
 5.17847681e-11  5.17847681e-11  5.89382209e-01  1.93343748e+00 
 5.22847681e-11  5.22847681e-11  5.80332309e-01  1.94170526e+00 
 5.27847681e-11  5.27847681e-11  5.71328142e-01  1.94995005e+00 
 5.32847681e-11  5.32847681e-11  5.62372792e-01  1.95816814e+00 
 5.37847681e-11  5.37847681e-11  5.53469287e-01  1.96635590e+00 
 5.42847681e-11  5.42847681e-11  5.44620601e-01  1.97450975e+00 
 5.47847681e-11  5.47847681e-11  5.35829642e-01  1.98262623e+00 
 5.52847681e-11  5.52847681e-11  5.27099252e-01  1.99070194e+00 
 5.57847681e-11  5.57847681e-11  5.18432201e-01  1.99873357e+00 
 5.62847681e-11  5.62847681e-11  5.09831180e-01  2.00671792e+00 
 5.67847681e-11  5.67847681e-11  5.01298800e-01  2.01465186e+00 
 5.72847681e-11  5.72847681e-11  4.92837591e-01  2.02253239e+00 
 5.77847681e-11  5.77847681e-11  4.84449990e-01  2.03035658e+00 
 5.82847681e-11  5.82847681e-11  4.76138348e-01  2.03812164e+00 
 5.87847681e-11  5.87847681e-11  4.67904920e-01  2.04582484e+00 
 5.92847681e-11  5.92847681e-11  4.59751865e-01  2.05346361e+00 
 5.97847681e-11  5.97847681e-11  4.51681244e-01  2.06103545e+00 
 6.02847681e-11  6.02847681e-11  4.43695020e-01  2.06853800e+00 
 6.07847681e-11  6.07847681e-11  4.35795052e-01  2.07596899e+00 
 6.12847681e-11  6.12847681e-11  4.27982919e-01  2.08332809e+00 
 6.17847681e-11  6.17847681e-11  4.20259422e-01  2.09061547e+00 
 6.22847681e-11  6.22847681e-11  4.12624433e-01  2.09782998e+00 
 6.27847681e-11  6.27847681e-11  4.05078105e-01  2.10497052e+00 
 6.32847681e-11  6.32847681e-11  3.97621216e-01  2.11203593e+00 
 6.37847681e-11  6.37847681e-11  3.90254472e-01  2.11902515e+00 
 6.42847681e-11  6.42847681e-11  3.82978509e-01  2.12593716e+00 
 6.47847681e-11  6.47847681e-11  3.75793893e-01  2.13277105e+00 
 6.52847681e-11  6.52847681e-11  3.68701120e-01  2.13952596e+00 
 6.57847681e-11  6.57847681e-11  3.61700619e-01  2.14620109e+00 
 6.62847681e-11  6.62847681e-11  3.54792750e-01  2.15279573e+00 
 6.67847681e-11  6.67847681e-11  3.47977811e-01  2.15930923e+00 
 6.72847681e-11  6.72847681e-11  3.41256033e-01  2.16574102e+00 
 6.77847681e-11  6.77847681e-11  3.34627585e-01  2.17209058e+00 
 6.82847681e-11  6.82847681e-11  3.28092574e-01  2.17835747e+00 
 6.87847681e-11  6.87847681e-11  3.21651049e-01  2.18454129e+00 
 6.92847681e-11  6.92847681e-11  3.15302997e-01  2.19064174e+00 
 6.97847681e-11  6.97847681e-11  3.09048352e-01  2.19665856e+00 
 7.02847681e-11  7.02847681e-11  3.02886991e-01  2.20259156e+00 
 7.07847681e-11  7.07847681e-11  2.96818737e-01  2.20844058e+00 
 7.12847681e-11  7.12847681e-11  2.90843362e-01  2.21420557e+00 
 7.17847681e-11  7.17847681e-11  2.84960588e-01  2.21988649e+00 
 7.22847681e-11  7.22847681e-11  2.79170088e-01  2.22548338e+00 
 7.27847681e-11  7.27847681e-11  2.73471490e-01  2.23099632e+00 
 7.32847681e-11  7.32847681e-11  2.67864376e-01  2.23642544e+00 
 7.37847681e-11  7.37847681e-11  2.62348285e-01  2.24177094e+00 
 7.42847681e-11  7.42847681e-11  2.56922716e-01  2.24703305e+00 
 7.47847681e-11  7.47847681e-11  2.51587126e-01  2.25221204e+00 
 7.52847681e-11  7.52847681e-11  2.46340937e-01  2.25730824e+00 
 7.57847681e-11  7.57847681e-11  2.41183534e-01  2.26232201e+00 
 7.62847681e-11  7.62847681e-11  2.36114269e-01  2.26725376e+00 
 7.67847681e-11  7.67847681e-11  2.31132459e-01  2.27210394e+00 
 7.72847681e-11  7.72847681e-11  2.26237393e-01  2.27687303e+00 
 7.77847681e-11  7.77847681e-11  2.21428330e-01  2.28156155e+00 
 7.82847681e-11  7.82847681e-11  2.16704502e-01  2.28617004e+00 
 7.87847681e-11  7.87847681e-11  2.12065114e-01  2.29069910e+00 
 7.92847681e-11  7.92847681e-11  2.07509349e-01  2.29514934e+00 
 7.97847681e-11  7.97847681e-11  2.03036366e-01  2.29952140e+00 
 8.02847681e-11  8.02847681e-11  1.98645304e-01  2.30381596e+00 
 8.07847681e-11  8.07847681e-11  1.94335283e-01  2.30803371e+00 
 8.12847681e-11  8.12847681e-11  1.90105404e-01  2.31217537e+00 
 8.17847681e-11  8.17847681e-11  1.85954751e-01  2.31624169e+00 
 8.22847681e-11  8.22847681e-11  1.81882396e-01  2.32023342e+00 
 8.27847681e-11  8.27847681e-11  1.77887393e-01  2.32415136e+00 
 8.32847681e-11  8.32847681e-11  1.73968788e-01  2.32799630e+00 
 8.37847681e-11  8.37847681e-11  1.70125612e-01  2.33176907e+00 
 8.42847681e-11  8.42847681e-11  1.66356890e-01  2.33547049e+00 
 8.47847681e-11  8.47847681e-11  1.62661635e-01  2.33910142e+00 
 8.52847681e-11  8.52847681e-11  1.59038856e-01  2.34266271e+00 
 8.57847681e-11  8.57847681e-11  1.55487551e-01  2.34615523e+00 
 8.62847681e-11  8.62847681e-11  1.52006719e-01  2.34957988e+00 
 8.67847681e-11  8.67847681e-11  1.48595349e-01  2.35293753e+00 
 8.72847681e-11  8.72847681e-11  1.45252431e-01  2.35622908e+00 
 8.77847681e-11  8.77847681e-11  1.41976950e-01  2.35945545e+00 
 8.82847681e-11  8.82847681e-11  1.38767892e-01  2.36261754e+00 
 8.87847681e-11  8.87847681e-11  1.35624242e-01  2.36571627e+00 
 8.92847681e-11  8.92847681e-11  1.32544983e-01  2.36875255e+00 
 8.97847681e-11  8.97847681e-11  1.29529104e-01  2.37172732e+00 
 9.02847681e-11  9.02847681e-11  1.26575516e-01  2.37464063e+00 
 9.07847681e-11  9.07847681e-11  1.23683488e-01  2.37749208e+00 
 9.12847681e-11  9.12847681e-11  1.20852363e-01  2.38028229e+00 
 9.17847681e-11  9.17847681e-11  1.18081106e-01  2.38301239e+00 
 9.22847681e-11  9.22847681e-11  1.15368691e-01  2.38568354e+00 
 9.27847681e-11  9.27847681e-11  1.12714097e-01  2.38829686e+00 
 9.32847681e-11  9.32847681e-11  1.10116307e-01  2.39085347e+00 
 9.37847681e-11  9.37847681e-11  1.07574315e-01  2.39335446e+00 
 9.42847681e-11  9.42847681e-11  1.05087120e-01  2.39580093e+00 
 9.47847681e-11  9.47847681e-11  1.02653730e-01  2.39819393e+00 
 9.52847681e-11  9.52847681e-11  1.00273160e-01  2.40053452e+00 
 9.57847681e-11  9.57847681e-11  9.79444382e-02  2.40282374e+00 
 9.62847681e-11  9.62847681e-11  9.56665979e-02  2.40506261e+00 
 9.67847681e-11  9.67847681e-11  9.34386845e-02  2.40725212e+00 
 9.72847681e-11  9.72847681e-11  9.12597530e-02  2.40939328e+00 
 9.77847681e-11  9.77847681e-11  8.91288691e-02  2.41148706e+00 
 9.82847681e-11  9.82847681e-11  8.70451090e-02  2.41353441e+00 
 9.87847681e-11  9.87847681e-11  8.50075603e-02  2.41553628e+00 
 9.92847681e-11  9.92847681e-11  8.30153217e-02  2.41749360e+00 
 9.97847681e-11  9.97847681e-11  8.10675031e-02  2.41940728e+00 
 1.00284768e-10  1.00284768e-10  7.91632266e-02  2.42127822e+00 
 1.00784768e-10  1.00784768e-10  7.73016256e-02  2.42310730e+00 
 1.01284768e-10  1.01284768e-10  7.54818457e-02  2.42489539e+00 
 1.01784768e-10  1.01784768e-10  7.37030445e-02  2.42664334e+00 
 1.02284768e-10  1.02284768e-10  7.19643918e-02  2.42835199e+00 
 1.02784768e-10  1.02784768e-10  7.02650695e-02  2.43002216e+00 
 1.03284768e-10  1.03284768e-10  6.86042719e-02  2.43165466e+00 
 1.03784768e-10  1.03784768e-10  6.69812055e-02  2.43325029e+00 
 1.04284768e-10  1.04284768e-10  6.53950894e-02  2.43480983e+00 
 1.04784768e-10  1.04784768e-10  6.38451550e-02  2.43633403e+00 
 1.05284768e-10  1.05284768e-10  6.23306458e-02  2.43782367e+00 
 1.05784768e-10  1.05784768e-10  6.08508180e-02  2.43927946e+00 
 1.06284768e-10  1.06284768e-10  5.94049401e-02  2.44070214e+00 
 1.06784768e-10  1.06784768e-10  5.79922927e-02  2.44209241e+00 
 1.07284768e-10  1.07284768e-10  5.66121689e-02  2.44345098e+00 
 1.07784768e-10  1.07784768e-10  5.52638738e-02  2.44477853e+00 
 1.08284768e-10  1.08284768e-10  5.39467249e-02  2.44607573e+00 
 1.08784768e-10  1.08784768e-10  5.26600516e-02  2.44734324e+00 
 1.09284768e-10  1.09284768e-10  5.14031952e-02  2.44858170e+00 
 1.09784768e-10  1.09784768e-10  5.01755090e-02  2.44979175e+00 
 1.10284768e-10  1.10284768e-10  4.89763583e-02  2.45097401e+00 
 1.10784768e-10  1.10784768e-10  4.78051197e-02  2.45212908e+00 
 1.11284768e-10  1.11284768e-10  4.66611818e-02  2.45325756e+00 
 1.11784768e-10  1.11784768e-10  4.55439444e-02  2.45436005e+00 
 1.12284768e-10  1.12284768e-10  4.44528188e-02  2.45543710e+00 
 1.12784768e-10  1.12784768e-10  4.33872275e-02  2.45648929e+00 
 1.13284768e-10  1.13284768e-10  4.23466041e-02  2.45751716e+00 
 1.13784768e-10  1.13784768e-10  4.13303932e-02  2.45852125e+00 
 1.14284768e-10  1.14284768e-10  4.03380504e-02  2.45950209e+00 
 1.14784768e-10  1.14784768e-10  3.93690418e-02  2.46046020e+00 
 1.15284768e-10  1.15284768e-10  3.84228442e-02  2.46139608e+00 
 1.15784768e-10  1.15784768e-10  3.74989449e-02  2.46231024e+00 
 1.16284768e-10  1.16284768e-10  3.65968413e-02  2.46320315e+00 
 1.16784768e-10  1.16784768e-10  3.57160411e-02  2.46407530e+00 
 1.17284768e-10  1.17284768e-10  3.48560620e-02  2.46492715e+00 
 1.17784768e-10  1.17784768e-10  3.40164316e-02  2.46575915e+00 
 1.18284768e-10  1.18284768e-10  3.31966871e-02  2.46657175e+00 
 1.18784768e-10  1.18784768e-10  3.23963753e-02  2.46736540e+00 
 1.19284768e-10  1.19284768e-10  3.16150526e-02  2.46814052e+00 
 1.19784768e-10  1.19784768e-10  3.08522844e-02  2.46889752e+00 
 1.20284768e-10  1.20284768e-10  3.01076454e-02  2.46963683e+00 
 1.20784768e-10  1.20784768e-10  2.93807191e-02  2.47035883e+00 
 1.21284768e-10  1.21284768e-10  2.86710980e-02  2.47106393e+00 
 1.21784768e-10  1.21784768e-10  2.79783833e-02  2.47175250e+00 
 1.22284768e-10  1.22284768e-10  2.73021844e-02  2.47242493e+00 
 1.22784768e-10  1.22784768e-10  2.66421195e-02  2.47308159e+00 
 1.23284768e-10  1.23284768e-10  2.59978147e-02  2.47372283e+00 
 1.23784768e-10  1.23784768e-10  2.53689044e-02  2.47434900e+00 
 1.24284768e-10  1.24284768e-10  2.47550308e-02  2.47496045e+00 
 1.24784768e-10  1.24784768e-10  2.41558439e-02  2.47555752e+00 
 1.25284768e-10  1.25284768e-10  2.35710014e-02  2.47614054e+00 
 1.25784768e-10  1.25784768e-10  2.30001686e-02  2.47670984e+00 
 1.26284768e-10  1.26284768e-10  2.24430179e-02  2.47726571e+00 
 1.26784768e-10  1.26784768e-10  2.18992293e-02  2.47780849e+00 
 1.27284768e-10  1.27284768e-10  2.13684894e-02  2.47833846e+00 
 1.27784768e-10  1.27784768e-10  2.08504923e-02  2.47885592e+00 
 1.28284768e-10  1.28284768e-10  2.03449386e-02  2.47936117e+00 
 1.28784768e-10  1.28784768e-10  1.98515355e-02  2.47985448e+00 
 1.29284768e-10  1.29284768e-10  1.93699970e-02  2.48033613e+00 
 1.29784768e-10  1.29784768e-10  1.89000435e-02  2.48080639e+00 
 1.30284768e-10  1.30284768e-10  1.84414014e-02  2.48126552e+00 
 1.30784768e-10  1.30784768e-10  1.79938037e-02  2.48171379e+00 
 1.31284768e-10  1.31284768e-10  1.75569891e-02  2.48215145e+00 
 1.31784768e-10  1.31784768e-10  1.71307025e-02  2.48257873e+00 
 1.32284768e-10  1.32284768e-10  1.67146943e-02  2.48299589e+00 
 1.32784768e-10  1.32784768e-10  1.63087208e-02  2.48340315e+00 
 1.33284768e-10  1.33284768e-10  1.59125438e-02  2.48380076e+00 
 1.33784768e-10  1.33784768e-10  1.55259305e-02  2.48418893e+00 
 1.34284768e-10  1.34284768e-10  1.51486536e-02  2.48456788e+00 
 1.34784768e-10  1.34784768e-10  1.47804908e-02  2.48493783e+00 
 1.35284768e-10  1.35284768e-10  1.44212251e-02  2.48529900e+00 
 1.35784768e-10  1.35784768e-10  1.40706444e-02  2.48565158e+00 
 1.36284768e-10  1.36284768e-10  1.37285415e-02  2.48599577e+00 
 1.36784768e-10  1.36784768e-10  1.33947140e-02  2.48633178e+00 
 1.37284768e-10  1.37284768e-10  1.30689643e-02  2.48665979e+00 
 1.37784768e-10  1.37784768e-10  1.27510991e-02  2.48698000e+00 
 1.38284768e-10  1.38284768e-10  1.24409300e-02  2.48729258e+00 
 1.38784768e-10  1.38784768e-10  1.21382726e-02  2.48759771e+00 
 1.39284768e-10  1.39284768e-10  1.18429470e-02  2.48789558e+00 
 1.39784768e-10  1.39784768e-10  1.15547775e-02  2.48818634e+00 
 1.40284768e-10  1.40284768e-10  1.12735925e-02  2.48847017e+00 
 1.40784768e-10  1.40784768e-10  1.09992243e-02  2.48874723e+00 
 1.41284768e-10  1.41284768e-10  1.07315093e-02  2.48901768e+00 
 1.41784768e-10  1.41784768e-10  1.04702877e-02  2.48928168e+00 
 1.42284768e-10  1.42284768e-10  1.02154033e-02  2.48953938e+00 
 1.42784768e-10  1.42784768e-10  9.96670370e-03  2.48979092e+00 
 1.43284768e-10  1.43284768e-10  9.72404018e-03  2.49003645e+00 
 1.43784768e-10  1.43784768e-10  9.48726738e-03  2.49027611e+00 
 1.44284768e-10  1.44284768e-10  9.25624344e-03  2.49051005e+00 
 1.44784768e-10  1.44784768e-10  9.03082981e-03  2.49073840e+00 
 1.45284768e-10  1.45284768e-10  8.81089126e-03  2.49096128e+00 
 1.45784768e-10  1.45784768e-10  8.59629575e-03  2.49117884e+00 
 1.46284768e-10  1.46284768e-10  8.38691436e-03  2.49139118e+00 
 1.46784768e-10  1.46784768e-10  8.18262124e-03  2.49159845e+00 
 1.47284768e-10  1.47284768e-10  7.98329352e-03  2.49180076e+00 
 1.47784768e-10  1.47784768e-10  7.78881127e-03  2.49199822e+00 
 1.48284768e-10  1.48284768e-10  7.59905739e-03  2.49219095e+00 
 1.48784768e-10  1.48784768e-10  7.41391759e-03  2.49237907e+00 
 1.49284768e-10  1.49284768e-10  7.23328028e-03  2.49256268e+00 
 1.49784768e-10  1.49784768e-10  7.05703655e-03  2.49274189e+00 
 1.50284768e-10  1.50284768e-10  6.88508010e-03  2.49291680e+00 
 1.50784768e-10  1.50784768e-10  6.71730713e-03  2.49308752e+00 
 1.51284768e-10  1.51284768e-10  6.55361636e-03  2.49325414e+00 
 1.51784768e-10  1.51784768e-10  6.39390892e-03  2.49341677e+00 
 1.52284768e-10  1.52284768e-10  6.23808831e-03  2.49357550e+00 
 1.52784768e-10  1.52784768e-10  6.08606032e-03  2.49373042e+00 
 1.53284768e-10  1.53284768e-10  5.93773304e-03  2.49388162e+00 
 1.53784768e-10  1.53784768e-10  5.79301672e-03  2.49402919e+00 
 1.54284768e-10  1.54284768e-10  5.65182379e-03  2.49417322e+00 
 1.54784768e-10  1.54784768e-10  5.51406879e-03  2.49431379e+00 
 1.55284768e-10  1.55284768e-10  5.37966828e-03  2.49445098e+00 
 1.55784768e-10  1.55784768e-10  5.24854087e-03  2.49458488e+00 
 1.56284768e-10  1.56284768e-10  5.12060708e-03  2.49471556e+00 
 1.56784768e-10  1.56784768e-10  4.99578940e-03  2.49484310e+00 
 1.57284768e-10  1.57284768e-10  4.87401212e-03  2.49496757e+00 
 1.57784768e-10  1.57784768e-10  4.75520141e-03  2.49508905e+00 
 1.58284768e-10  1.58284768e-10  4.63928520e-03  2.49520762e+00 
 1.58784768e-10  1.58784768e-10  4.52619314e-03  2.49532333e+00 
 1.59284768e-10  1.59284768e-10  4.41585660e-03  2.49543625e+00 
 1.59784768e-10  1.59784768e-10  4.30820861e-03  2.49554646e+00 
