 0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.25000000e-02  0.00000000e+00 -8.67666816e-06  0.00000000e+00 -2.64638379e-06  0.00000000e+00 -2.64638379e-07 
 1.00000000e-11  1.00000000e-11  1.00000000e-11 -1.24997222e-02  1.00000000e-11 -8.67564772e-06  1.00000000e-11 -2.64607256e-06  1.00000000e-11 -2.64607256e-07 
 2.00000000e-11  2.00000000e-11  2.00000000e-11 -1.24994444e-02  2.00000000e-11 -8.67445605e-06  2.00000000e-11 -2.64570910e-06  2.00000000e-11 -2.64570910e-07 
 4.00000000e-11  4.00000000e-11  4.00000000e-11 -1.24988889e-02  4.00000000e-11 -8.67195501e-06  4.00000000e-11 -2.64494628e-06  4.00000000e-11 -2.64494628e-07 
 8.00000000e-11  8.00000000e-11  8.00000000e-11 -1.24977778e-02  8.00000000e-11 -8.66735473e-06  8.00000000e-11 -2.64354319e-06  8.00000000e-11 -2.64354319e-07 
 1.60000000e-10  1.60000000e-10  1.60000000e-10 -1.24955556e-02  1.60000000e-10 -8.65965638e-06  1.60000000e-10 -2.64119519e-06  1.60000000e-10 -2.64119519e-07 
 3.20000000e-10  3.20000000e-10  3.20000000e-10 -1.24911111e-02  3.20000000e-10 -8.64471011e-06  3.20000000e-10 -2.63663658e-06  3.20000000e-10 -2.63663658e-07 
 6.40000000e-10  6.40000000e-10  6.40000000e-10 -1.24822222e-02  6.40000000e-10 -8.61331975e-06  6.40000000e-10 -2.62706252e-06  6.40000000e-10 -2.62706252e-07 
 1.28000000e-09  1.28000000e-09  1.28000000e-09 -1.24644444e-02  1.28000000e-09 -8.54701994e-06  1.28000000e-09 -2.60684108e-06  1.28000000e-09 -2.60684108e-07 
 2.28000000e-09  2.28000000e-09  2.28000000e-09 -1.24366667e-02  2.28000000e-09 -8.43439155e-06  2.28000000e-09 -2.57248942e-06  2.28000000e-09 -2.57248942e-07 
 3.28000000e-09  3.28000000e-09  3.28000000e-09 -1.24088889e-02  3.28000000e-09 -8.31075167e-06  3.28000000e-09 -2.53477926e-06  3.28000000e-09 -2.53477926e-07 
 4.28000000e-09  4.28000000e-09  4.28000000e-09 -1.23811111e-02  4.28000000e-09 -8.17619456e-06  4.28000000e-09 -2.49373934e-06  4.28000000e-09 -2.49373934e-07 
 5.28000000e-09  5.28000000e-09  5.28000000e-09 -1.23533333e-02  5.28000000e-09 -8.03082206e-06  5.28000000e-09 -2.44940073e-06  5.28000000e-09 -2.44940073e-07 
 6.28000000e-09  6.28000000e-09  6.28000000e-09 -1.23255556e-02  6.28000000e-09 -7.87474072e-06  6.28000000e-09 -2.40179592e-06  6.28000000e-09 -2.40179592e-07 
 7.28000000e-09  7.28000000e-09  7.28000000e-09 -1.22977778e-02  7.28000000e-09 -7.70806186e-06  7.28000000e-09 -2.35095887e-06  7.28000000e-09 -2.35095887e-07 
 8.28000000e-09  8.28000000e-09  8.28000000e-09 -1.22700000e-02  8.28000000e-09 -7.53090121e-06  8.28000000e-09 -2.29692487e-06  8.28000000e-09 -2.29692487e-07 
 9.28000000e-09  9.28000000e-09  9.28000000e-09 -1.22422222e-02  9.28000000e-09 -7.34337873e-06  9.28000000e-09 -2.23973051e-06  9.28000000e-09 -2.23973051e-07 
