 1.00000000e+03  1.00000000e+03  0.00000000e+00  1.00000000e+03 -5.55720581e+01  1.00000000e+03 -6.15873872e+01  1.00000000e+03 -6.31708382e+01  1.00000000e+03 -6.54245001e+01 
 1.01157945e+03  1.01157945e+03  0.00000000e+00  1.01157945e+03 -5.55720510e+01  1.01157945e+03 -6.15873760e+01  1.01157945e+03 -6.31708311e+01  1.01157945e+03 -6.54244962e+01 
 1.02329299e+03  1.02329299e+03  0.00000000e+00  1.02329299e+03 -5.55720439e+01  1.02329299e+03 -6.15873645e+01  1.02329299e+03 -6.31708239e+01  1.02329299e+03 -6.54244921e+01 
 1.03514217e+03  1.03514217e+03  0.00000000e+00  1.03514217e+03 -5.55720365e+01  1.03514217e+03 -6.15873528e+01  1.03514217e+03 -6.31708165e+01  1.03514217e+03 -6.54244879e+01 
 1.04712855e+03  1.04712855e+03  0.00000000e+00  1.04712855e+03 -5.55720290e+01  1.04712855e+03 -6.15873407e+01  1.04712855e+03 -6.31708090e+01  1.04712855e+03 -6.54244837e+01 
 1.05925373e+03  1.05925373e+03  0.00000000e+00  1.05925373e+03 -5.55720213e+01  1.05925373e+03 -6.15873284e+01  1.05925373e+03 -6.31708013e+01  1.05925373e+03 -6.54244793e+01 
 1.07151931e+03  1.07151931e+03  0.00000000e+00  1.07151931e+03 -5.55720134e+01  1.07151931e+03 -6.15873158e+01  1.07151931e+03 -6.31707934e+01  1.07151931e+03 -6.54244749e+01 
 1.08392691e+03  1.08392691e+03  0.00000000e+00  1.08392691e+03 -5.55720053e+01  1.08392691e+03 -6.15873030e+01  1.08392691e+03 -6.31707853e+01  1.08392691e+03 -6.54244703e+01 
 1.09647820e+03  1.09647820e+03  0.00000000e+00  1.09647820e+03 -5.55719971e+01  1.09647820e+03 -6.15872898e+01  1.09647820e+03 -6.31707770e+01  1.09647820e+03 -6.54244657e+01 
 1.10917482e+03  1.10917482e+03  0.00000000e+00  1.10917482e+03 -5.55719886e+01  1.10917482e+03 -6.15872763e+01  1.10917482e+03 -6.31707686e+01  1.10917482e+03 -6.54244609e+01 
 1.12201845e+03  1.12201845e+03  0.00000000e+00  1.12201845e+03 -5.55719800e+01  1.12201845e+03 -6.15872625e+01  1.12201845e+03 -6.31707599e+01  1.12201845e+03 -6.54244560e+01 
 1.13501082e+03  1.13501082e+03  0.00000000e+00  1.13501082e+03 -5.55719711e+01  1.13501082e+03 -6.15872483e+01  1.13501082e+03 -6.31707510e+01  1.13501082e+03 -6.54244510e+01 
 1.14815362e+03  1.14815362e+03  0.00000000e+00  1.14815362e+03 -5.55719621e+01  1.14815362e+03 -6.15872339e+01  1.14815362e+03 -6.31707420e+01  1.14815362e+03 -6.54244459e+01 
 1.16144861e+03  1.16144861e+03  0.00000000e+00  1.16144861e+03 -5.55719528e+01  1.16144861e+03 -6.15872191e+01  1.16144861e+03 -6.31707327e+01  1.16144861e+03 -6.54244407e+01 
 1.17489755e+03  1.17489755e+03  0.00000000e+00  1.17489755e+03 -5.55719434e+01  1.17489755e+03 -6.15872039e+01  1.17489755e+03 -6.31707232e+01  1.17489755e+03 -6.54244353e+01 
 1.18850223e+03  1.18850223e+03  0.00000000e+00  1.18850223e+03 -5.55719337e+01  1.18850223e+03 -6.15871884e+01  1.18850223e+03 -6.31707134e+01  1.18850223e+03 -6.54244299e+01 
 1.20226443e+03  1.20226443e+03  0.00000000e+00  1.20226443e+03 -5.55719237e+01  1.20226443e+03 -6.15871726e+01  1.20226443e+03 -6.31707035e+01  1.20226443e+03 -6.54244243e+01 
 1.21618600e+03  1.21618600e+03  0.00000000e+00  1.21618600e+03 -5.55719136e+01  1.21618600e+03 -6.15871564e+01  1.21618600e+03 -6.31706933e+01  1.21618600e+03 -6.54244185e+01 
 1.23026877e+03  1.23026877e+03  0.00000000e+00  1.23026877e+03 -5.55719032e+01  1.23026877e+03 -6.15871398e+01  1.23026877e+03 -6.31706829e+01  1.23026877e+03 -6.54244127e+01 
 1.24451461e+03  1.24451461e+03  0.00000000e+00  1.24451461e+03 -5.55718926e+01  1.24451461e+03 -6.15871228e+01  1.24451461e+03 -6.31706722e+01  1.24451461e+03 -6.54244067e+01 
 1.25892541e+03  1.25892541e+03  0.00000000e+00  1.25892541e+03 -5.55718817e+01  1.25892541e+03 -6.15871054e+01  1.25892541e+03 -6.31706613e+01  1.25892541e+03 -6.54244005e+01 
 1.27350308e+03  1.27350308e+03  0.00000000e+00  1.27350308e+03 -5.55718706e+01  1.27350308e+03 -6.15870876e+01  1.27350308e+03 -6.31706502e+01  1.27350308e+03 -6.54243942e+01 
