 1.00000000e+01  1.00000000e+01  0.00000000e+00  1.00000000e+01 -1.25720074e+02  1.00000000e+01  4.99666129e-04 
 1.01157945e+01  1.01157945e+01  0.00000000e+00  1.01157945e+01 -1.25720074e+02  1.01157945e+01  5.05451792e-04 
 1.02329299e+01  1.02329299e+01  0.00000000e+00  1.02329299e+01 -1.25720074e+02  1.02329299e+01  5.11304872e-04 
 1.03514217e+01  1.03514217e+01  0.00000000e+00  1.03514217e+01 -1.25720074e+02  1.03514217e+01  5.17225173e-04 
 1.04712855e+01  1.04712855e+01  0.00000000e+00  1.04712855e+01 -1.25720074e+02  1.04712855e+01  5.23214413e-04 
 1.05925373e+01  1.05925373e+01  0.00000000e+00  1.05925373e+01 -1.25720074e+02  1.05925373e+01  5.29272901e-04 
 1.07151931e+01  1.07151931e+01  0.00000000e+00  1.07151931e+01 -1.25720074e+02  1.07151931e+01  5.35401676e-04 
 1.08392691e+01  1.08392691e+01  0.00000000e+00  1.08392691e+01 -1.25720074e+02  1.08392691e+01  5.41601435e-04 
 1.09647820e+01  1.09647820e+01  0.00000000e+00  1.09647820e+01 -1.25720073e+02  1.09647820e+01  5.47872958e-04 
 1.10917482e+01  1.10917482e+01  0.00000000e+00  1.10917482e+01 -1.25720073e+02  1.10917482e+01  5.54216787e-04 
 1.12201845e+01  1.12201845e+01  0.00000000e+00  1.12201845e+01 -1.25720073e+02  1.12201845e+01  5.60634401e-04 
 1.13501082e+01  1.13501082e+01  0.00000000e+00  1.13501082e+01 -1.25720073e+02  1.13501082e+01  5.67126285e-04 
 1.14815362e+01  1.14815362e+01  0.00000000e+00  1.14815362e+01 -1.25720073e+02  1.14815362e+01  5.73693428e-04 
 1.16144861e+01  1.16144861e+01  0.00000000e+00  1.16144861e+01 -1.25720073e+02  1.16144861e+01  5.80336466e-04 
 1.17489755e+01  1.17489755e+01  0.00000000e+00  1.17489755e+01 -1.25720073e+02  1.17489755e+01  5.87056210e-04 
 1.18850223e+01  1.18850223e+01  0.00000000e+00  1.18850223e+01 -1.25720073e+02  1.18850223e+01  5.93853975e-04 
 1.20226443e+01  1.20226443e+01  0.00000000e+00  1.20226443e+01 -1.25720073e+02  1.20226443e+01  6.00730818e-04 
 1.21618600e+01  1.21618600e+01  0.00000000e+00  1.21618600e+01 -1.25720073e+02  1.21618600e+01  6.07686791e-04 
 1.23026877e+01  1.23026877e+01  0.00000000e+00  1.23026877e+01 -1.25720073e+02  1.23026877e+01  6.14723297e-04 
 1.24451461e+01  1.24451461e+01  0.00000000e+00  1.24451461e+01 -1.25720073e+02  1.24451461e+01  6.21841693e-04 
 1.25892541e+01  1.25892541e+01  0.00000000e+00  1.25892541e+01 -1.25720073e+02  1.25892541e+01  6.29042647e-04 
 1.27350308e+01  1.27350308e+01  0.00000000e+00  1.27350308e+01 -1.25720073e+02  1.27350308e+01  6.36326132e-04 
 1.28824955e+01  1.28824955e+01  0.00000000e+00  1.28824955e+01 -1.25720073e+02  1.28824955e+01  6.43694541e-04 
 1.30316678e+01  1.30316678e+01  0.00000000e+00  1.30316678e+01 -1.25720073e+02  1.30316678e+01  6.51147852e-04 
 1.31825674e+01  1.31825674e+01  0.00000000e+00  1.31825674e+01 -1.25720073e+02  1.31825674e+01  6.58688030e-04 
 1.33352143e+01  1.33352143e+01  0.00000000e+00  1.33352143e+01 -1.25720073e+02  1.33352143e+01  6.66315160e-04 
 1.34896288e+01  1.34896288e+01  0.00000000e+00  1.34896288e+01 -1.25720073e+02  1.34896288e+01  6.74030877e-04 
 1.36458314e+01  1.36458314e+01  0.00000000e+00  1.36458314e+01 -1.25720073e+02  1.36458314e+01  6.81836012e-04 
 1.38038426e+01  1.38038426e+01  0.00000000e+00  1.38038426e+01 -1.25720073e+02  1.38038426e+01  6.89731332e-04 
 1.39636836e+01  1.39636836e+01  0.00000000e+00  1.39636836e+01 -1.25720073e+02  1.39636836e+01  6.97717867e-04 
 1.41253754e+01  1.41253754e+01  0.00000000e+00  1.41253754e+01 -1.25720073e+02  1.41253754e+01  7.05797016e-04 
 1.42889396e+01  1.42889396e+01  0.00000000e+00  1.42889396e+01 -1.25720073e+02  1.42889396e+01  7.13969790e-04 
