 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  9.36248056e+01  1.00000000e+00  3.13944826e+00 
 1.01157945e+00  1.01157945e+00  0.00000000e+00  1.01157945e+00  9.36248052e+01  1.01157945e+00  3.13942343e+00 
 1.02329299e+00  1.02329299e+00  0.00000000e+00  1.02329299e+00  9.36248047e+01  1.02329299e+00  3.13939831e+00 
 1.03514217e+00  1.03514217e+00  0.00000000e+00  1.03514217e+00  9.36248043e+01  1.03514217e+00  3.13937290e+00 
 1.04712855e+00  1.04712855e+00  0.00000000e+00  1.04712855e+00  9.36248038e+01  1.04712855e+00  3.13934720e+00 
 1.05925373e+00  1.05925373e+00  0.00000000e+00  1.05925373e+00  9.36248033e+01  1.05925373e+00  3.13932120e+00 
 1.07151931e+00  1.07151931e+00  0.00000000e+00  1.07151931e+00  9.36248028e+01  1.07151931e+00  3.13929490e+00 
 1.08392691e+00  1.08392691e+00  0.00000000e+00  1.08392691e+00  9.36248023e+01  1.08392691e+00  3.13926829e+00 
 1.09647820e+00  1.09647820e+00  0.00000000e+00  1.09647820e+00  9.36248018e+01  1.09647820e+00  3.13924138e+00 
 1.10917482e+00  1.10917482e+00  0.00000000e+00  1.10917482e+00  9.36248012e+01  1.10917482e+00  3.13921415e+00 
 1.12201845e+00  1.12201845e+00  0.00000000e+00  1.12201845e+00  9.36248007e+01  1.12201845e+00  3.13918661e+00 
 1.13501082e+00  1.13501082e+00  0.00000000e+00  1.13501082e+00  9.36248001e+01  1.13501082e+00  3.13915875e+00 
 1.14815362e+00  1.14815362e+00  0.00000000e+00  1.14815362e+00  9.36247995e+01  1.14815362e+00  3.13913056e+00 
 1.16144861e+00  1.16144861e+00  0.00000000e+00  1.16144861e+00  9.36247990e+01  1.16144861e+00  3.13910205e+00 
 1.17489755e+00  1.17489755e+00  0.00000000e+00  1.17489755e+00  9.36247984e+01  1.17489755e+00  3.13907321e+00 
 1.18850223e+00  1.18850223e+00  0.00000000e+00  1.18850223e+00  9.36247977e+01  1.18850223e+00  3.13904404e+00 
 1.20226443e+00  1.20226443e+00  0.00000000e+00  1.20226443e+00  9.36247971e+01  1.20226443e+00  3.13901453e+00 
 1.21618600e+00  1.21618600e+00  0.00000000e+00  1.21618600e+00  9.36247965e+01  1.21618600e+00  3.13898468e+00 
 1.23026877e+00  1.23026877e+00  0.00000000e+00  1.23026877e+00  9.36247958e+01  1.23026877e+00  3.13895448e+00 
 1.24451461e+00  1.24451461e+00  0.00000000e+00  1.24451461e+00  9.36247951e+01  1.24451461e+00  3.13892393e+00 
