vdd_v,tp_ps,tphl_ps,tplh_ps
0.9,124.250851206704,129.8375474572458,118.6641549561622
1.0,95.0198974206993,99.27028085135188,90.76951399004669
1.2,64.00265173314578,66.74681348871319,61.258489977578385
1.5,42.80051058794191,44.47301536842138,41.12800580746243
1.8,32.233251268339586,33.38129968741992,31.085202849259254
2.0,27.72420308749786,28.66261035113639,26.785795823859328
2.5,20.696361149378248,21.27886347823181,20.11385882052469
3.0,16.67841713413164,16.99832006699153,16.35851420127175
