experiment,vm_v,vil_v,vih_v,vol_v,voh_v,nml_v,nmh_v,gain_max,tphl_s,tplh_s,tp_s,tfall_s,trise_s,pavg_w
nominal_vtc,1.2500002104411196,1.0189599406894432,1.48333335,1.38068305e-09,2.5,1.01895993930876,1.01666665,43.70140543887524,,,,,,
nominal_transient,,,,,,,,,2.1278863478231808e-11,2.011385882052469e-11,2.069636114937825e-11,3.3091967497163146e-11,3.482834163381925e-11,0.00010050023641748561
