 0.00000000e+00  0.00000000e+00  0.00000000e+00  3.28750000e+00  0.00000000e+00  3.09998114e+00  0.00000000e+00  1.19999270e+00  0.00000000e+00  2.70336091e+00  0.00000000e+00  5.84139086e-01  0.00000000e+00  0.00000000e+00 
 1.00000000e-11  1.00000000e-11  1.00000000e-11  3.28750028e+00  1.00000000e-11  3.09998128e+00  1.00000000e-11  1.19999275e+00  1.00000000e-11  2.70336113e+00  1.00000000e-11  5.84139052e-01  1.00000000e-11  3.48339096e-08 
 2.00000000e-11  2.00000000e-11  2.00000000e-11  3.28750056e+00  2.00000000e-11  3.09998139e+00  2.00000000e-11  1.19999280e+00  2.00000000e-11  2.70336132e+00  2.00000000e-11  5.84138993e-01  2.00000000e-11  8.68016442e-08 
 4.00000000e-11  4.00000000e-11  4.00000000e-11  3.28750111e+00  4.00000000e-11  3.09998158e+00  4.00000000e-11  1.19999287e+00  4.00000000e-11  2.70336170e+00  4.00000000e-11  5.84138821e-01  4.00000000e-11  2.14846167e-07 
 8.00000000e-11  8.00000000e-11  8.00000000e-11  3.28750222e+00  8.00000000e-11  3.09998198e+00  8.00000000e-11  1.19999302e+00  8.00000000e-11  2.70336245e+00  8.00000000e-11  5.84138211e-01  8.00000000e-11  5.40900089e-07 
 1.60000000e-10  1.60000000e-10  1.60000000e-10  3.28750444e+00  1.60000000e-10  3.09998289e+00  1.60000000e-10  1.19999338e+00  1.60000000e-10  2.70336403e+00  1.60000000e-10  5.84135757e-01  1.60000000e-10  1.36440934e-06 
 3.20000000e-10  3.20000000e-10  3.20000000e-10  3.28750889e+00  3.20000000e-10  3.09998514e+00  3.20000000e-10  1.19999425e+00  3.20000000e-10  2.70336739e+00  3.20000000e-10  5.84124823e-01  3.20000000e-10  3.45259376e-06 
 6.40000000e-10  6.40000000e-10  6.40000000e-10  3.28751778e+00  6.40000000e-10  3.09999087e+00  6.40000000e-10  1.19999647e+00  6.40000000e-10  2.70337477e+00  6.40000000e-10  5.84072444e-01  6.40000000e-10  8.78024089e-06 
 1.28000000e-09  1.28000000e-09  1.28000000e-09  3.28753556e+00  1.28000000e-09  3.10000512e+00  1.28000000e-09  1.20000198e+00  1.28000000e-09  2.70339109e+00  1.28000000e-09  5.83815578e-01  1.28000000e-09  2.16291742e-05 
 2.28000000e-09  2.28000000e-09  2.28000000e-09  3.28756333e+00  2.28000000e-09  3.10003006e+00  2.28000000e-09  1.20001164e+00  2.28000000e-09  2.70341853e+00  2.28000000e-09  5.82954437e-01  2.28000000e-09  4.24683994e-05 
 3.28000000e-09  3.28000000e-09  3.28000000e-09  3.28759111e+00  3.28000000e-09  3.10005511e+00  3.28000000e-09  1.20002133e+00  3.28000000e-09  2.70344693e+00  3.28000000e-09  5.81517209e-01  3.28000000e-09  6.10938723e-05 
 4.28000000e-09  4.28000000e-09  4.28000000e-09  3.28761889e+00  4.28000000e-09  3.10007865e+00  4.28000000e-09  1.20003045e+00  4.28000000e-09  2.70347564e+00  4.28000000e-09  5.79522560e-01  4.28000000e-09  7.61684909e-05 
 5.28000000e-09  5.28000000e-09  5.28000000e-09  3.28764667e+00  5.28000000e-09  3.10010000e+00  5.28000000e-09  1.20003871e+00  5.28000000e-09  2.70350444e+00  5.28000000e-09  5.77010982e-01  5.28000000e-09  8.74315871e-05 
 6.28000000e-09  6.28000000e-09  6.28000000e-09  3.28767444e+00  6.28000000e-09  3.10011888e+00  6.28000000e-09  1.20004602e+00  6.28000000e-09  2.70353329e+00  6.28000000e-09  5.74034683e-01  6.28000000e-09  9.50436021e-05 
 7.28000000e-09  7.28000000e-09  7.28000000e-09  3.28770222e+00  7.28000000e-09  3.10013512e+00  7.28000000e-09  1.20005231e+00  7.28000000e-09  2.70356219e+00  7.28000000e-09  5.70652387e-01  7.28000000e-09  9.92694764e-05 
 8.28000000e-09  8.28000000e-09  8.28000000e-09  3.28773000e+00  8.28000000e-09  3.10014858e+00  8.28000000e-09  1.20005752e+00  8.28000000e-09  2.70359115e+00  8.28000000e-09  5.66927117e-01  8.28000000e-09  1.00377025e-04 
 9.28000000e-09  9.28000000e-09  9.28000000e-09  3.28775778e+00  9.28000000e-09  3.10015915e+00  9.28000000e-09  1.20006160e+00  9.28000000e-09  2.70362016e+00  9.28000000e-09  5.62925136e-01  9.28000000e-09  9.86226539e-05 
 1.02800000e-08  1.02800000e-08  1.02800000e-08  3.28778556e+00  1.02800000e-08  3.10016672e+00  1.02800000e-08  1.20006454e+00  1.02800000e-08  2.70364920e+00  1.02800000e-08  5.58715145e-01  1.02800000e-08  9.42593039e-05 
 1.12800000e-08  1.12800000e-08  1.12800000e-08  3.28781333e+00  1.12800000e-08  3.10017125e+00  1.12800000e-08  1.20006629e+00  1.12800000e-08  2.70367826e+00  1.12800000e-08  5.54367449e-01  1.12800000e-08  8.75442705e-05 
